Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,4869883.0,-13.1818,67.0797
7.338996338110348,5726701.0,32.59789,67.0783
10.772173450159421,10783690.0,50.8347,67.0728
15.811388300841895,9051254.0,2.587549,67.0651
23.207944168063896,8693839.0,3.964338,67.0946
34.06460345289807,4869701.0,2.628311,67.0766
49.99999999999999,5506451.0,8.155329,67.0701
73.38996338110344,5848773.0,-4.013261,67.0779
107.72173450159421,11466120.0,-113.3578,67.1039
158.11388300841895,14261510.0,-113.0228,67.1062
232.07944168063884,5252604.0,15.62687,67.0784
340.6460345289807,3429221.0,-29.90698,67.1015
499.99999999999994,3407447.0,-1.051485,67.099
733.8996338110344,3613224.0,-48.82289,67.1163
1077.217345015941,3092226.0,-38.02645,67.1057
1581.1388300841895,3364716.0,35.1502,67.1103
2320.794416806388,3285300.0,-98.65307,67.1101
3406.4603452898036,2850971.0,-35.64631,67.1114
4999.999999999999,1478358.0,-67.49814,67.0996
7338.996338110344,1279359.0,-69.4663,67.1113
10772.17345015941,654280.8,-75.62338,67.1045
15811.388300841894,506722.4,-79.62765,67.1323
23207.944168063907,326994.1,-88.77256,67.1267
34064.60345289804,236707.6,-86.41436,67.1034
49999.99999999999,164543.7,-87.83144,67.1192
