Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,14604560.0,-30.72249,67.3961
7.338996338110348,7281423.0,8.716965,67.4254
10.772173450159421,9432146.0,-2.154534,67.41
15.811388300841895,8252024.0,-11.8008,67.4146
23.207944168063896,7477450.0,-21.93321,67.4557
34.06460345289807,6902999.0,-5.495645,67.4178
49.99999999999999,9003713.0,-11.67046,67.436
73.38996338110344,9148807.0,9.469249,67.4248
107.72173450159421,6240320.0,-26.57347,67.4225
158.11388300841895,4215861.0,27.4253,67.4439
232.07944168063884,4547519.0,-30.55597,67.4344
340.6460345289807,11839400.0,122.8999,67.427
499.99999999999994,6816530.0,18.39204,67.4526
733.8996338110344,4700963.0,6.685353,67.4521
1077.217345015941,6187305.0,15.61658,67.4542
1581.1388300841895,1739441.0,-11.54143,67.4392
2320.794416806388,4842799.0,49.11862,67.4345
3406.4603452898036,7571783.0,-31.56494,67.4511
4999.999999999999,2121486.0,-41.09383,67.4376
7338.996338110344,19983070.0,-92.12316,67.4489
10772.17345015941,4576795.0,-47.8776,67.4344
15811.388300841894,1949802.0,-71.25912,67.4399
23207.944168063907,1445221.0,-78.70956,67.4532
34064.60345289804,962806.9,-86.33527,67.4532
49999.99999999999,587966.0,-84.68631,67.4643
