Time (s),Voltage (V),Current (A)
0.049997806549072266,0.0,4.683945e-06
0.08198690414428711,0.002,5.186364e-06
0.11897063255310059,0.004,5.505261e-06
0.15088462829589844,0.006,5.907678e-06
0.1914994716644287,0.008,6.216598e-06
0.22380852699279785,0.01,6.505426e-06
0.2572777271270752,0.012,6.799624e-06
0.29659605026245117,0.014,7.000387e-06
0.32911062240600586,0.016,7.360146e-06
0.37041783332824707,0.018000000000000002,7.676508e-06
0.40360546112060547,0.02,7.880207e-06
0.43620920181274414,0.022,8.1798e-06
0.4761011600494385,0.024,8.337513e-06
0.5110659599304199,0.026000000000000002,8.700501e-06
0.551689624786377,0.028,8.953875e-06
0.5847899913787842,0.03,9.190904e-06
0.6169240474700928,0.032,9.490652e-06
0.6571063995361328,0.034,9.631063e-06
0.6910443305969238,0.036000000000000004,1.004571e-05
0.7322654724121094,0.038,1.021647e-05
0.7861390113830566,0.04,1.020053e-05
0.8246762752532959,0.042,1.071534e-05
0.85671067237854,0.044,1.094653e-05
0.8871104717254639,0.046,1.129065e-05
0.9240882396697998,0.048,1.145775e-05
0.9559643268585205,0.05,1.184459e-05
0.997119665145874,0.052000000000000005,1.219054e-05
1.0282516479492188,0.054,1.24081e-05
1.0591990947723389,0.056,1.27465e-05
1.0968897342681885,0.058,1.301928e-05
1.127781629562378,0.06,1.332026e-05
1.1595215797424316,0.062,1.366229e-05
1.1965136528015137,0.064,1.380154e-05
1.2274017333984375,0.066,1.425987e-05
1.2673282623291016,0.068,1.458115e-05
1.299208164215088,0.07,1.483254e-05
1.331439733505249,0.07200000000000001,1.528103e-05
1.3712937831878662,0.074,1.534665e-05
1.4042155742645264,0.076,1.580711e-05
1.4431025981903076,0.078,1.624081e-05
1.4750182628631592,0.08,1.649107e-05
1.507899522781372,0.082,1.690112e-05
1.544548749923706,0.084,1.732554e-05
1.578460693359375,0.08600000000000001,1.771243e-05
1.609407663345337,0.088,1.80792e-05
1.6458439826965332,0.09,1.833262e-05
1.678645372390747,0.092,1.889084e-05
1.7185049057006836,0.094,1.93627e-05
1.7494215965270996,0.096,1.973739e-05
1.7822461128234863,0.098,2.020053e-05
1.8211278915405273,0.1,2.039254e-05
1.8550455570220947,0.10200000000000001,2.114323e-05
1.8944909572601318,0.10400000000000001,2.178687e-05
1.9263453483581543,0.106,2.208549e-05
1.958341121673584,0.108,2.276819e-05
1.9986889362335205,0.11,2.307468e-05
2.0306355953216553,0.112,2.400848e-05
2.0696403980255127,0.114,2.488262e-05
2.1007537841796875,0.116,2.583384e-05
2.1336917877197266,0.11800000000000001,2.716633e-05
2.173574686050415,0.12,2.867021e-05
2.2045977115631104,0.122,3.155183e-05
2.236307144165039,0.124,3.60093e-05
2.27337384223938,0.126,4.5851e-05
2.303952932357788,0.128,6.169984e-05
2.3448402881622314,0.13,9.123222e-05
2.3922736644744873,0.132,0.0002968759
2.431089162826538,0.134,0.0004705471
2.46201229095459,0.136,0.0005581566
