Time (s),Voltage (V),Current (A)
0.07309913635253906,0.0,5.528159e-07
0.11058566093444824,0.01,6.269968e-07
0.14663022994995117,0.02,6.935418e-07
0.18227330207824707,0.03,7.399344e-07
0.21836841583251954,0.04,7.617393e-07
0.25969347953796384,0.05,7.841428e-07
0.3007279109954834,0.06,7.989902e-07
0.344379940032959,0.07,9.952755e-07
0.381363639831543,0.08,1.050055e-06
0.4455208587646484,0.09,8.034675e-07
0.5011326789855957,0.1,7.563723e-07
0.5412377548217774,0.11,1.050022e-06
0.6048985862731934,0.12,8.022129e-07
0.6685522651672363,0.13,7.517074e-07
0.704807357788086,0.14,1.050073e-06
0.7718379974365235,0.15,8.177445e-07
0.8279130649566651,0.16,7.894405e-07
0.8913400077819824,0.17,8.232402e-07
0.9542045211791992,0.18,8.03551e-07
1.016859703063965,0.19,8.260419e-07
1.0719722747802733,0.2,8.055214e-07
1.1409336280822755,0.21,8.318947e-07
1.1969583892822266,0.22,8.171434e-07
1.2611942863464356,0.23,8.615045e-07
1.324017791748047,0.24,8.459761e-07
1.386763572692871,0.25,8.780803e-07
1.4428186130523681,0.26,8.540939e-07
1.5119203948974609,0.27,8.954574e-07
1.5682627296447755,0.28,8.662409e-07
1.6464008140563964,0.29,8.940726e-07
1.7031038761138917,0.3,8.76014e-07
1.7742334079742432,0.31,9.223048e-07
1.8305988693237305,0.32,9.271397e-07
1.9098255729675293,0.33,9.323231e-07
1.9659788417816162,0.34,9.674129e-07
2.0439521789550783,0.35000000000000003,9.482122e-07
2.0798036289215087,0.36,1.010145e-06
2.116221799850464,0.37,1.061509e-06
2.1577023124694827,0.38,1.112463e-06
2.201553421020508,0.39,1.143448e-06
2.2366171360015867,0.4,1.173794e-06
2.273714084625244,0.41000000000000003,1.216624e-06
2.3094353580474856,0.42,1.250762e-06
2.3447336769104004,0.43,1.292454e-06
2.385589294433594,0.44,1.302948e-06
2.4279009342193607,0.45,1.343889e-06
2.470587606430054,0.46,1.35936e-06
2.507896270751953,0.47000000000000003,1.376805e-06
2.5435174083709717,0.48,1.409777e-06
2.578940658569336,0.49,1.443766e-06
2.614074230194092,0.5,1.476689e-06
2.6542815876007078,0.51,1.48613e-06
2.6960696601867675,0.52,1.520924e-06
2.7376166915893556,0.53,1.540986e-06
2.7738829898834227,0.54,1.556875e-06
2.809355115890503,0.55,1.594586e-06
2.845134325027466,0.56,1.626986e-06
2.882305898666382,0.5700000000000001,1.648578e-06
2.920121440887451,0.58,1.674648e-06
2.9616818237304687,0.59,1.703313e-06
3.0043203353881838,0.6,1.722569e-06
3.040720624923706,0.61,1.741935e-06
3.076901569366455,0.62,1.792079e-06
3.113246307373047,0.63,1.821653e-06
3.14926965713501,0.64,1.857829e-06
3.1852715492248533,0.65,1.895075e-06
3.2289788913726807,0.66,1.899568e-06
3.271045436859131,0.67,1.945949e-06
3.314090452194214,0.68,1.978191e-06
3.351024322509766,0.6900000000000001,2.001989e-06
3.3876985549926757,0.7000000000000001,2.059856e-06
3.4224015426635743,0.71,2.109324e-06
3.457638111114502,0.72,2.158884e-06
3.495140132904053,0.73,2.206637e-06
3.535638360977173,0.74,2.25185e-06
3.5784785747528076,0.75,2.29412e-06
3.6144268226623537,0.76,2.326573e-06
3.6507670307159423,0.77,2.404929e-06
3.686761054992676,0.78,2.459502e-06
3.7220279026031493,0.79,2.531657e-06
3.7598188877105714,0.8,2.578432e-06
3.8006523323059085,0.8,2.332505e-06
3.8441703701019287,0.79,1.871966e-06
3.8804936504364016,0.78,1.548498e-06
3.9159524250030517,0.77,1.297013e-06
3.952224922180176,0.76,1.103206e-06
4.008238954544067,0.75,9.100459e-07
4.045565261840821,0.74,7.95243e-07
4.082501039505005,0.73,6.816077e-07
4.122735576629639,0.72,5.85418e-07
4.163513946533204,0.71,5.001068e-07
4.207910079956054,0.7,4.285556e-07
4.2454068565368654,0.69,3.707066e-07
4.284019193649292,0.6799999999999999,3.091913e-07
4.321964197158813,0.6699999999999999,2.684224e-07
4.358720684051514,0.6599999999999999,2.270509e-07
4.396398897171021,0.6499999999999999,1.922543e-07
4.437532510757446,0.6399999999999999,1.661868e-07
4.483144340515137,0.6299999999999999,1.45791e-07
4.525562076568604,0.6199999999999999,1.153938e-07
