Time (s),Voltage (V),Current (A)
0.05486035346984863,0.0,-3.226001e-07
0.08776545524597168,0.002,-1.679963e-07
0.12569975852966309,0.004,4.031588e-08
0.15960240364074707,0.006,-5.756831e-08
0.201460599899292,0.008,-3.118699e-08
0.2344038486480713,0.01,4.556811e-08
0.2762613296508789,0.012,7.625112e-08
0.31116700172424316,0.014,8.206113e-08
0.34411025047302246,0.016,1.350158e-07
0.3859975337982178,0.018000000000000002,3.213131e-07
0.4198770523071289,0.02,2.193615e-07
0.4617650508880615,0.022,2.328313e-07
0.49567341804504395,0.024,2.363398e-07
0.5380532741546631,0.026000000000000002,3.364057e-07
0.5717349052429199,0.028,3.096127e-07
0.6058986186981201,0.03,3.31176e-07
0.6441428661346436,0.032,3.229591e-07
0.6781511306762695,0.034,3.700844e-07
0.7223424911499023,0.036000000000000004,4.376454e-07
0.7555749416351318,0.038,4.328321e-07
0.7888433933258057,0.04,4.655754e-07
0.828423023223877,0.042,6.297846e-07
0.8620679378509521,0.044,5.130192e-07
0.9006710052490234,0.046,5.410546e-07
0.934187650680542,0.048,5.693445e-07
0.9670999050140381,0.05,6.001461e-07
1.008018970489502,0.052000000000000005,7.491266e-07
1.0427186489105225,0.054,6.138958e-07
1.0847501754760742,0.056,6.10265e-07
1.1179993152618408,0.058,6.785741e-07
1.159240961074829,0.06,7.083001e-07
1.1936941146850586,0.062,6.813462e-07
1.2275493144989014,0.064,7.407787e-07
1.2664449214935303,0.066,7.323729e-07
1.3013720512390137,0.068,7.88216e-07
1.3424906730651855,0.07,8.350995e-07
1.3772528171539307,0.07200000000000001,9.463596e-07
1.4105961322784424,0.074,9.467559e-07
1.4499561786651611,0.076,8.492332e-07
1.4843621253967285,0.078,1.047054e-06
1.5264344215393066,0.08,1.050075e-06
1.5874547958374023,0.082,8.09984e-07
1.6474287509918213,0.084,8.229904e-07
1.707383632659912,0.08600000000000001,8.075653e-07
1.7613353729248047,0.088,8.531085e-07
1.826862096786499,0.09,8.478966e-07
1.8796944618225098,0.092,8.952671e-07
1.945321798324585,0.094,8.917063e-07
1.9782354831695557,0.096,1.02019e-06
2.0103323459625244,0.098,1.096273e-06
2.047771453857422,0.1,1.107234e-06
2.0815982818603516,0.10200000000000001,1.205201e-06
2.1234116554260254,0.10400000000000001,1.259174e-06
2.155102252960205,0.106,1.262766e-06
2.1880154609680176,0.108,1.311201e-06
2.225440263748169,0.11,1.409085e-06
2.259380578994751,0.112,1.413397e-06
2.299586534500122,0.114,1.455162e-06
2.332486867904663,0.116,1.503439e-06
2.3665990829467773,0.11800000000000001,1.573143e-06
2.405193567276001,0.12,1.555885e-06
2.4375433921813965,0.122,1.6449e-06
2.479206085205078,0.124,1.706784e-06
2.5129189491271973,0.126,1.747025e-06
2.544928789138794,0.128,1.817295e-06
2.585827112197876,0.13,1.817356e-06
2.617767810821533,0.132,1.936492e-06
2.6587631702423096,0.134,1.992689e-06
2.6915667057037354,0.136,2.032627e-06
2.724938154220581,0.138,2.113565e-06
2.763420343399048,0.14,2.16719e-06
2.796236515045166,0.14200000000000002,2.328391e-06
2.838310718536377,0.14400000000000002,2.452471e-06
2.872300148010254,0.146,2.581717e-06
2.9040403366088867,0.148,2.772561e-06
2.943904161453247,0.15,2.907596e-06
2.9778125286102295,0.152,3.152452e-06
3.0181853771209717,0.154,3.368265e-06
3.0520946979522705,0.156,3.6176e-06
3.084766149520874,0.158,3.843303e-06
3.1237869262695312,0.16,4.024691e-06
3.157125473022461,0.162,4.304375e-06
3.198347330093384,0.164,4.539064e-06
3.2306454181671143,0.166,4.803916e-06
3.26278018951416,0.168,5.036036e-06
3.3039515018463135,0.17,5.2181e-06
3.336905002593994,0.17200000000000001,5.516114e-06
3.379575729370117,0.17400000000000002,5.724327e-06
3.4116370677948,0.176,5.938382e-06
3.444971799850464,0.178,6.151055e-06
3.484835147857666,0.18,6.332754e-06
3.517127513885498,0.182,6.592759e-06
3.558762550354004,0.184,6.797131e-06
3.590688705444336,0.186,6.99431e-06
3.624591112136841,0.188,7.199703e-06
3.664461612701416,0.19,7.372131e-06
3.697375535964966,0.192,7.623172e-06
3.7378742694854736,0.194,7.817936e-06
