Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,16011.55,-54.29549,68.2713
7.338996338110348,14099.73,-59.87687,68.2369
10.772173450159421,11099.1,-63.73906,68.2281
15.811388300841895,8555.067,-66.35445,68.2051
23.207944168063896,6454.053,-68.03181,68.2138
34.06460345289807,4826.194,-69.04005,68.2024
49.99999999999999,3588.991,-69.45306,68.1884
73.38996338110344,2658.336,-69.28507,68.1856
107.72173450159421,1975.755,-68.60067,68.1757
158.11388300841895,1474.129,-67.56857,68.1766
232.07944168063884,1108.761,-66.19258,68.131
340.6460345289807,839.5859,-64.71866,68.1693
499.99999999999994,639.1646,-63.20657,68.1444
733.8996338110344,487.6739,-61.52895,68.1377
1077.217345015941,373.0576,-59.38721,68.1182
1581.1388300841895,287.4407,-56.51584,68.133
2320.794416806388,224.5069,-52.8161,68.128
3406.4603452898036,178.8768,-48.34456,68.1417
4999.999999999999,146.0244,-43.30448,68.0939
7338.996338110344,122.4769,-37.94596,68.0944
10772.17345015941,105.6052,-32.50397,68.0942
15811.388300841894,93.59353,-27.16135,68.0724
23207.944168063907,85.17977,-22.15123,68.0663
34064.60345289804,79.39081,-17.69031,68.0778
49999.99999999999,75.39944,-13.89166,68.0817
