Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,45883.44,-53.69908,66.4514
7.338996338110348,41103.54,-47.74053,66.4821
10.772173450159421,35931.46,-44.14129,66.4545
15.811388300841895,31987.65,-41.75584,66.446
23.207944168063896,27983.22,-40.61085,66.4484
34.06460345289807,24395.37,-40.5146,66.4777
49.99999999999999,21070.09,-41.00482,66.4516
73.38996338110344,18054.19,-41.86796,66.4677
107.72173450159421,15384.09,-42.84866,66.4541
158.11388300841895,13004.18,-44.10135,66.4628
232.07944168063884,10890.53,-45.19452,66.462
340.6460345289807,9072.507,-46.51379,66.4774
499.99999999999994,7487.768,-48.10977,66.4647
733.8996338110344,6172.836,-49.84113,66.4811
1077.217345015941,4998.343,-51.59967,66.4324
1581.1388300841895,4017.487,-53.49514,66.4626
2320.794416806388,3184.446,-55.28912,66.4588
3406.4603452898036,2506.072,-56.94023,66.4706
4999.999999999999,1948.928,-58.25511,66.4561
7338.996338110344,1504.085,-59.05533,66.4612
10772.17345015941,1153.139,-59.23904,66.4677
15811.388300841894,881.6262,-58.63519,66.4639
23207.944168063907,674.6206,-57.10907,66.462
34064.60345289804,520.3725,-54.53673,66.4437
49999.99999999999,406.7085,-50.85712,66.4739
