Time (s),Voltage (V),Current (A)
0.06577372550964355,0.0,4.868393e-09
0.10251399993896484,0.01,3.1222e-08
0.1385602378845215,0.02,4.545636e-08
0.1811615562438965,0.03,5.345218e-08
0.22244108200073243,0.04,6.606574e-08
0.26592264175415037,0.05,7.385261e-08
0.3027845096588135,0.06,8.312346e-08
0.33895544052124027,0.07,9.360314e-08
0.3760552501678467,0.08,1.03154e-07
0.4117169189453125,0.09,1.133745e-07
0.45003862380981446,0.1,1.240662e-07
0.4940756988525391,0.11,1.338495e-07
0.5304931545257568,0.12,1.424208e-07
0.5672300910949707,0.13,1.592129e-07
0.6049230861663819,0.14,1.674364e-07
0.6418369293212891,0.15,1.785642e-07
0.6784577560424805,0.16,1.917629e-07
0.7217032814025879,0.17,1.99296e-07
0.7612104034423828,0.18,2.162689e-07
0.8057355213165284,0.19,2.300884e-07
0.8413549900054932,0.2,2.418796e-07
0.878056640625,0.21,2.622466e-07
0.9151683712005616,0.22,2.758966e-07
0.9522374248504639,0.23,2.919272e-07
0.9880798149108887,0.24,3.083948e-07
1.0308666229248047,0.25,3.258282e-07
1.0754906845092773,0.26,3.415856e-07
1.1122378730773925,0.27,3.569433e-07
1.1499179935455324,0.28,3.827061e-07
1.1867140579223632,0.29,4.002581e-07
1.2227843761444093,0.3,4.208138e-07
1.2602379989624024,0.31,4.444527e-07
1.303796329498291,0.32,4.612626e-07
1.3433563804626465,0.33,4.890315e-07
1.387738208770752,0.34,5.135176e-07
1.4261767387390136,0.35000000000000003,5.33557e-07
1.463330192565918,0.36,5.67147e-07
1.5000394725799562,0.37,5.944981e-07
1.5369909858703614,0.38,6.244016e-07
1.5730717945098878,0.39,6.580325e-07
1.616814422607422,0.4,6.806371e-07
1.6571307373046875,0.41000000000000003,7.183922e-07
1.701505651473999,0.42,7.493596e-07
1.737712345123291,0.43,7.808548e-07
1.7749709415435793,0.44,8.182049e-07
1.8117307662963869,0.45,8.588494e-07
1.8486860942840577,0.46,8.99336e-07
1.889370050430298,0.47000000000000003,9.388784e-07
1.9311209297180176,0.48,9.897727e-07
1.9949083614349366,0.49,9.746312e-07
2.0335116386413574,0.5,1.018013e-06
2.074911088943481,0.51,1.070795e-06
2.1169850254058837,0.52,1.112919e-06
2.152748022079468,0.53,1.152023e-06
2.1879397678375243,0.54,1.203194e-06
2.2234347820281983,0.55,1.255895e-06
2.259565658569336,0.56,1.307325e-06
2.2996330642700196,0.5700000000000001,1.349479e-06
2.3406648731231687,0.58,1.398192e-06
2.3835682678222656,0.59,1.445218e-06
2.4190623283386232,0.6,1.486447e-06
2.4546083641052245,0.61,1.542482e-06
2.4911269092559816,0.62,1.592668e-06
2.526577816009522,0.63,1.650394e-06
2.5690847206115723,0.64,1.683105e-06
2.6109543323516844,0.65,1.743616e-06
2.6536264610290528,0.66,1.786678e-06
2.6886243724823,0.67,1.833232e-06
2.7253648853302,0.68,1.887067e-06
2.7629024314880373,0.6900000000000001,1.947775e-06
2.7996028900146483,0.7000000000000001,2.003084e-06
2.8354686450958253,0.71,2.060236e-06
2.876401271820068,0.72,2.114353e-06
2.9188738441467286,0.73,2.159939e-06
2.9542444038391116,0.74,2.20262e-06
2.989550828933716,0.75,2.264828e-06
3.024806709289551,0.76,2.327553e-06
3.0610410594940185,0.77,2.395009e-06
3.1017924880981447,0.78,2.436069e-06
3.143042688369751,0.79,2.503545e-06
3.1859954357147218,0.8,2.550521e-06
3.221222944259644,0.8,2.320046e-06
3.2554500484466553,0.79,1.919533e-06
3.291543016433716,0.78,1.621435e-06
3.327672939300537,0.77,1.377236e-06
3.36749382019043,0.76,1.181978e-06
3.409971876144409,0.75,1.020627e-06
3.4649096870422365,0.74,8.870412e-07
3.504753694534302,0.73,7.635243e-07
3.549712257385254,0.72,6.652402e-07
3.5859578132629397,0.71,5.789059e-07
3.6225583744049072,0.7,4.992968e-07
3.6592039966583254,0.69,4.394782e-07
3.697807512283325,0.6799999999999999,3.829967e-07
3.7357918548583986,0.6699999999999999,3.338478e-07
3.777793312072754,0.6599999999999999,2.931309e-07
3.818580026626587,0.6499999999999999,2.508689e-07
3.863558378219605,0.6399999999999999,2.169635e-07
3.9012761688232422,0.6299999999999999,1.863684e-07
3.939448623657227,0.6199999999999999,1.577762e-07
3.9768757820129395,0.6099999999999999,1.323097e-07
4.01392695426941,0.5999999999999999,1.090218e-07
4.051137628555297,0.5899999999999999,8.874245e-08
4.091758165359497,0.5799999999999998,7.057756e-08
4.136351709365845,0.5699999999999998,5.485165e-08
4.17406210899353,0.5599999999999998,4.028909e-08
4.211884565353394,0.5499999999999998,2.515038e-08
4.249249496459961,0.5399999999999998,1.03313e-08
4.286624917984009,0.5299999999999998,-3.755531e-09
4.3239826965332036,0.5199999999999998,-1.494659e-08
4.368926954269409,0.5099999999999998,-1.674965e-08
4.409387512207031,0.4999999999999998,-3.198303e-08
4.455027475357056,0.48999999999999977,-4.17843e-08
4.492106542587281,0.47999999999999976,-4.958357e-08
4.5300813484191895,0.46999999999999975,-5.877929e-08
4.56790738105774,0.45999999999999974,-6.797435e-08
4.606142778396606,0.44999999999999973,-7.649383e-08
4.644489755630493,0.4399999999999997,-8.39245e-08
4.685127458572388,0.4299999999999997,-9.182253e-08
4.729869775772094,0.4199999999999997,-9.915284e-08
4.7679249286651615,0.4099999999999997,-1.024268e-07
4.805728788375855,0.3999999999999997,-1.168115e-07
4.843558397293091,0.3899999999999997,-1.188981e-07
4.882204351425171,0.37999999999999967,-1.257434e-07
4.920197038650513,0.36999999999999966,-1.321436e-07
4.964809894561768,0.35999999999999965,-1.30669e-07
5.004914731979371,0.34999999999999964,-1.427027e-07
5.050086441040039,0.33999999999999964,-1.488398e-07
5.08768144607544,0.3299999999999996,-1.539416e-07
5.126536254882813,0.3199999999999996,-1.687762e-07
5.164570426940918,0.3099999999999996,-1.694699e-07
5.201525993347168,0.2999999999999996,-1.74876e-07
5.239393033981323,0.2899999999999996,-1.820778e-07
5.280157098770141,0.2799999999999996,-1.841716e-07
5.3215269851684575,0.2699999999999996,-1.936401e-07
5.366962862014771,0.25999999999999956,-1.99566e-07
5.404612703323364,0.24999999999999956,-2.01822e-07
5.442631616592408,0.23999999999999955,-2.177873e-07
5.481545314788819,0.22999999999999954,-2.18008e-07
5.519488887786865,0.21999999999999953,-2.252109e-07
5.558412837982178,0.20999999999999952,-2.320303e-07
5.596866149902344,0.1999999999999995,-2.384356e-07
5.638282289505005,0.1899999999999995,-2.459132e-07
5.68371244430542,0.1799999999999995,-2.488784e-07
5.721986227035522,0.16999999999999948,-2.538042e-07
5.760313653945923,0.15999999999999948,-2.711873e-07
5.797649021148682,0.14999999999999947,-2.725604e-07
5.835643854141235,0.13999999999999946,-2.8039e-07
5.873382387161255,0.12999999999999945,-2.869937e-07
5.913890390396118,0.11999999999999944,-2.903874e-07
5.955075025558472,0.10999999999999943,-2.997729e-07
6.000550003051758,0.09999999999999942,-3.05983e-07
6.038512411117554,0.08999999999999941,-3.091696e-07
6.076633367538452,0.0799999999999994,-3.283083e-07
6.114219789505005,0.0699999999999994,-3.304531e-07
6.152408933639527,0.05999999999999939,-3.385936e-07
6.190009183883667,0.04999999999999938,-3.478089e-07
6.230602779388428,0.03999999999999937,-3.520142e-07
6.271676788330078,0.02999999999999936,-3.624073e-07
6.3179306793212895,0.01999999999999935,-3.693995e-07
6.3559431552886965,0.009999999999999343,-3.737718e-07
6.392799777984619,-6.661338147750939e-16,-3.862986e-07
6.4310132408142096,-0.010000000000000675,-3.982584e-07
6.468831405639649,-0.020000000000000684,-4.079089e-07
6.508344249725342,-0.030000000000000693,-4.135443e-07
6.5488889694213865,-0.0400000000000007,-4.285739e-07
6.5925662708282475,-0.05000000000000071,-4.357879e-07
6.6310577297210695,-0.06000000000000072,-4.410399e-07
6.667879066467285,-0.07000000000000073,-4.656448e-07
6.706060819625855,-0.08000000000000074,-4.681847e-07
6.743031644821167,-0.09000000000000075,-4.798947e-07
6.780146713256836,-0.10000000000000075,-4.921644e-07
6.821423616409302,-0.11000000000000076,-4.960656e-07
6.862778005599976,-0.12000000000000077,-5.135196e-07
6.907914905548096,-0.13000000000000078,-5.213525e-07
6.945507526397705,-0.1400000000000008,-5.296181e-07
6.9831103992462165,-0.1500000000000008,-5.456e-07
7.021589937210083,-0.1600000000000008,-5.599949e-07
7.058661136627197,-0.17000000000000082,-5.764068e-07
7.097956304550171,-0.18000000000000083,-5.88785e-07
7.138659572601319,-0.19000000000000083,-6.067763e-07
7.183175630569458,-0.20000000000000084,-6.205331e-07
7.220967330932617,-0.21000000000000085,-6.328854e-07
7.259413967132568,-0.22000000000000086,-6.636849e-07
7.297665815353394,-0.23000000000000087,-6.731631e-07
7.3361207962036135,-0.24000000000000088,-6.91117e-07
7.3753072452545165,-0.2500000000000009,-7.095006e-07
7.414976253509522,-0.2600000000000009,-7.285698e-07
7.456166372299195,-0.2700000000000009,-7.535724e-07
7.5022140312194825,-0.2800000000000009,-7.737516e-07
7.539966869354248,-0.2900000000000009,-7.899068e-07
7.578041334152222,-0.30000000000000093,-8.273752e-07
7.617792596817017,-0.31000000000000094,-8.48552e-07
7.65601035118103,-0.32000000000000095,-8.761381e-07
7.694147758483887,-0.33000000000000096,-9.065598e-07
7.738163852691651,-0.34000000000000097,-9.239344e-07
7.778285140991211,-0.350000000000001,-9.713652e-07
7.843196954727173,-0.360000000000001,-9.285968e-07
7.901695547103882,-0.370000000000001,-9.386348e-07
7.9871726322174075,-0.380000000000001,-9.198606e-07
8.044960975646973,-0.390000000000001,-9.439091e-07
8.122029752731324,-0.400000000000001,-9.425612e-07
8.159087839126588,-0.41000000000000103,-1.005737e-06
8.197083864212036,-0.42000000000000104,-1.050972e-06
8.239827041625976,-0.43000000000000105,-1.101967e-06
8.283678388595582,-0.44000000000000106,-1.147861e-06
8.320353574752808,-0.45000000000000107,-1.18684e-06
8.356975831985473,-0.4600000000000011,-1.232406e-06
8.393838653564453,-0.4700000000000011,-1.275306e-06
8.429961662292481,-0.4800000000000011,-1.330114e-06
8.469178390502929,-0.4900000000000011,-1.371003e-06
8.51026026725769,-0.5000000000000011,-1.420267e-06
8.553776874542237,-0.5100000000000011,-1.460961e-06
8.590462312698364,-0.5200000000000011,-1.500572e-06
8.627658681869507,-0.5300000000000011,-1.546115e-06
8.664863634109498,-0.5400000000000011,-1.595369e-06
8.701632280349731,-0.5500000000000012,-1.646706e-06
8.739890089035034,-0.5600000000000012,-1.69396e-06
8.780699453353883,-0.5700000000000012,-1.74297e-06
8.824625186920166,-0.5800000000000012,-1.787843e-06
8.861811780929566,-0.5900000000000012,-1.824304e-06
8.899147148132325,-0.6000000000000012,-1.887122e-06
8.933980073928833,-0.6,-1.733091e-06
8.969590244293213,-0.59,-1.456954e-06
9.004519729614259,-0.58,-1.252933e-06
9.045237064361572,-0.57,-1.096733e-06
9.102066249847413,-0.5599999999999999,-9.705154e-07
9.14540499687195,-0.5499999999999999,-8.360249e-07
9.189307842254639,-0.5399999999999999,-7.361309e-07
9.22764552116394,-0.5299999999999999,-6.484956e-07
9.265450096130373,-0.5199999999999999,-5.707136e-07
9.303010768890381,-0.5099999999999999,-5.005797e-07
9.339827098846435,-0.4999999999999999,-4.37853e-07
9.37761260032654,-0.4899999999999999,-3.816195e-07
9.418268184661866,-0.47999999999999987,-3.300249e-07
9.463893365859985,-0.46999999999999986,-2.844193e-07
9.50074927330017,-0.45999999999999985,-2.404549e-07
9.539587869644166,-0.44999999999999984,-1.837113e-07
9.577507123947143,-0.43999999999999984,-1.562131e-07
9.614865856170654,-0.4299999999999998,-1.186431e-07
9.653612661361695,-0.4199999999999998,-8.573249e-08
9.695673007965087,-0.4099999999999998,-6.231224e-08
9.735224237442017,-0.3999999999999998,-2.519356e-08
9.781558952331544,-0.3899999999999998,3.665154e-09
