Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,25743.08,-49.75684,67.0789
7.338996338110348,23797.87,-46.20754,67.0555
10.772173450159421,20911.07,-45.27761,67.0566
15.811388300841895,18144.84,-45.70022,67.0588
23.207944168063896,15400.57,-46.82032,67.0719
34.06460345289807,12828.47,-48.19272,67.068
49.99999999999999,10545.05,-49.64188,67.0687
73.38996338110344,8582.718,-50.83914,67.0524
107.72173450159421,6938.253,-51.83626,67.084
158.11388300841895,5608.368,-52.58794,67.0664
232.07944168063884,4514.683,-53.25548,67.0709
340.6460345289807,3613.712,-53.887,67.0758
499.99999999999994,2884.266,-54.46611,67.0734
733.8996338110344,2292.11,-55.03521,67.0609
1077.217345015941,1809.029,-55.56403,67.0695
1581.1388300841895,1425.187,-56.02161,67.0844
2320.794416806388,1118.314,-56.2297,67.0815
3406.4603452898036,874.189,-56.09683,67.0779
4999.999999999999,680.9929,-55.43728,67.063
7338.996338110344,530.8872,-54.05306,67.0789
10772.17345015941,415.8218,-51.79651,67.0579
15811.388300841894,329.126,-48.54192,67.0692
23207.944168063907,265.1515,-44.2748,67.0748
34064.60345289804,219.1592,-39.17953,67.0815
49999.99999999999,186.8332,-33.60452,67.0778
