Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,46057.42,-48.69207,63.3047
7.338996338110348,40036.3,-47.32567,63.3233
10.772173450159421,33399.04,-46.90733,63.3182
15.811388300841895,27878.73,-46.4449,63.3271
23.207944168063896,23183.44,-45.98146,63.3258
34.06460345289807,19207.46,-45.67666,63.3186
49.99999999999999,15969.69,-45.67265,63.3292
73.38996338110344,13268.0,-45.96982,63.3279
107.72173450159421,10983.16,-46.43702,63.312
158.11388300841895,9022.43,-46.96933,63.3188
232.07944168063884,7369.038,-47.59957,63.3065
340.6460345289807,5989.011,-47.8885,63.3111
499.99999999999994,4857.465,-47.7587,63.3145
733.8996338110344,3919.453,-46.99455,63.3118
1077.217345015941,3156.335,-45.5733,63.3071
1581.1388300841895,2571.7,-43.25413,63.3363
2320.794416806388,2132.136,-40.21073,63.3239
3406.4603452898036,1802.402,-36.704,63.3284
4999.999999999999,1557.605,-33.04697,63.3232
7338.996338110344,1378.099,-29.57354,63.301
10772.17345015941,1242.454,-26.64876,63.3119
15811.388300841894,1138.745,-24.49677,63.2992
23207.944168063907,1055.334,-23.29914,63.3092
34064.60345289804,984.1661,-23.25169,63.3135
49999.99999999999,916.7527,-24.53345,63.33
