Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,113841.5,-49.50667,67.8076
7.338996338110348,76590.66,-47.62969,67.7839
10.772173450159421,61768.81,-46.52353,67.7765
15.811388300841895,50296.39,-45.05696,67.7518
23.207944168063896,41353.77,-43.53519,67.7581
34.06460345289807,34575.51,-42.2798,67.7376
49.99999999999999,29179.13,-41.54143,67.7092
73.38996338110344,24598.04,-41.0034,67.6929
107.72173450159421,20482.61,-40.2421,67.6785
158.11388300841895,17366.77,-40.18937,67.6741
232.07944168063884,14541.35,-41.00588,67.6329
340.6460345289807,12233.69,-39.77297,67.6097
499.99999999999994,10285.17,-39.73747,67.6045
733.8996338110344,8743.403,-38.56576,67.575
1077.217345015941,7446.801,-38.04331,67.5665
1581.1388300841895,6428.757,-37.485,67.5481
2320.794416806388,5495.392,-37.56653,67.5343
3406.4603452898036,4747.84,-37.76182,67.5339
4999.999999999999,4049.383,-37.91254,67.483
7338.996338110344,3475.603,-39.20087,67.4593
10772.17345015941,2963.917,-40.49798,67.4783
15811.388300841894,2501.932,-41.96966,67.4335
23207.944168063907,2101.47,-43.92815,67.427
34064.60345289804,1743.361,-46.28195,67.4111
49999.99999999999,1423.466,-48.74981,67.3981
