Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,48762.5,-47.86641,67.6488
7.338996338110348,42064.01,-48.56196,67.6497
10.772173450159421,34818.14,-48.09873,67.6371
15.811388300841895,29019.59,-48.22156,67.6259
23.207944168063896,23997.16,-48.23706,67.6513
34.06460345289807,19788.43,-48.78898,67.6122
49.99999999999999,16202.73,-49.6714,67.6321
73.38996338110344,13206.21,-50.61835,67.619
107.72173450159421,10696.04,-51.68115,67.5934
158.11388300841895,8545.904,-51.66325,67.6286
232.07944168063884,6823.107,-52.58265,67.6057
340.6460345289807,5458.329,-52.38106,67.5949
499.99999999999994,4345.306,-51.27769,67.6015
733.8996338110344,3460.478,-49.93578,67.6228
1077.217345015941,2775.171,-47.75618,67.5905
1581.1388300841895,2251.632,-45.02258,67.6334
2320.794416806388,1883.367,-41.64993,67.6368
3406.4603452898036,1591.795,-38.46723,67.6202
4999.999999999999,1373.626,-35.41264,67.6112
7338.996338110344,1209.591,-32.80532,67.6424
10772.17345015941,1079.918,-30.92112,67.6463
15811.388300841894,981.3751,-29.99575,67.6606
23207.944168063907,892.6308,-30.4111,67.6784
34064.60345289804,804.3945,-32.26278,67.6699
49999.99999999999,719.2448,-35.66359,67.6868
