Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 100 Hz (ohms),Impedance Phase at 100 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,1.35e+05,96,-1.35e+04,-1.18e-08
D-001,D-001,Port D,1,2.01e+08,-69,7.29e+07,8.48e-12
D-002,D-002,Port D,1,1.45e+08,-33,1.21e+08,2.01e-11
D-003,D-003,Port D,1,3.51e+08,-61,1.70e+08,5.18e-12
D-004,pt10,Port D,1,1.03e+05,-9,1.02e+05,9.38e-08
D-005,pt05,Port D,1,2.44e+04,-72,7.61e+03,6.87e-08
D-006,ir10,Port D,1,4.02e+04,-14,3.89e+04,1.59e-07
D-007,ir05,Port D,1,1.91e+04,-22,1.77e+04,2.18e-07
D-008,pt01,Port D,1,2.57e+04,-65,1.06e+04,6.82e-08
D-009,pt02,Port D,1,2.16e+04,-84,2.17e+03,7.40e-08
D-010,pt03,Port D,1,1.08e+06,12,1.06e+06,-7.36e-09
D-011,pt04,Port D,1,7.12e+05,-9,7.03e+05,1.37e-08
D-012,pt06,Port D,1,9.55e+04,-8,9.45e+04,1.16e-07
D-013,pt07,Port D,1,9.95e+04,-9,9.84e+04,1.06e-07
D-014,pt08,Port D,1,9.92e+04,-9,9.81e+04,1.08e-07
D-015,pt09,Port D,1,4.43e+06,-10,4.36e+06,2.10e-09
D-016,g2x2l-2,Port D,1,2.60e+04,-83,3.23e+03,6.16e-08
D-017,g2x2l-1,Port D,1,2.25e+04,-86,1.61e+03,7.11e-08
D-018,g2x2s-2,Port D,1,2.29e+04,-82,3.36e+03,7.03e-08
D-019,g2x2s-1,Port D,1,2.17e+04,-79,4.21e+03,7.46e-08
D-020,g3x3s-2,Port D,1,2.95e+04,-82,4.27e+03,5.46e-08
D-021,g3x3s-1,Port D,1,2.72e+04,-81,4.47e+03,5.94e-08
D-022,g1x1-2,Port D,1,1.73e+04,-29,1.52e+04,1.92e-07
D-023,g1x1-1,Port D,1,3.73e+04,-17,3.57e+04,1.48e-07
D-024,ir01,Port D,1,2.80e+05,-14,2.71e+05,2.30e-08
D-025,ir02,Port D,1,4.83e+05,-15,4.66e+05,1.28e-08
D-026,ir03,Port D,1,1.14e+05,-15,1.10e+05,5.41e-08
D-027,ir04,Port D,1,1.97e+05,2,1.97e+05,-2.67e-07
D-028,ir06,Port D,1,4.26e+05,-5,4.25e+05,4.63e-08
D-029,ir07,Port D,1,4.18e+04,-13,4.08e+04,1.74e-07
D-030,ir08,Port D,1,6.86e+05,10,6.75e+05,-1.31e-08
D-031,ir09,Port D,1,9.19e+05,-13,8.95e+05,7.65e-09
