Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,1.27e+03,119,-6.20e+02,-1.43e-07
D-001,D-001,Port D,1,2.71e+07,-143,-2.17e+07,9.87e-12
D-002,D-002,Port D,1,3.06e+07,-107,-9.11e+06,5.45e-12
D-003,D-003,Port D,1,3.83e+07,-156,-3.50e+07,1.03e-11
D-004,D-004,Port D,1,7.99e+03,-35,6.52e+03,3.44e-08
D-005,D-005,Port D,1,1.35e+03,-43,9.93e+02,1.75e-07
D-006,D-006,Port D,1,9.68e+03,-37,7.77e+03,2.75e-08
D-007,D-007,Port D,1,7.92e+03,-29,6.95e+03,4.20e-08
D-008,D-008,Port D,1,4.07e+03,-39,3.17e+03,6.23e-08
D-009,D-009,Port D,1,1.14e+03,-43,8.37e+02,2.04e-07
D-010,D-010,Port D,1,1.39e+05,-28,1.23e+05,2.41e-09
D-011,D-011,Port D,1,9.78e+02,-31,8.40e+02,3.18e-07
D-012,D-012,Port D,1,7.66e+03,-27,6.84e+03,4.62e-08
D-013,D-013,Port D,1,7.97e+03,-28,7.02e+03,4.21e-08
D-014,D-014,Port D,1,7.67e+03,-26,6.87e+03,4.67e-08
D-015,D-015,Port D,1,5.93e+04,-25,5.36e+04,6.29e-09
D-016,D-016,Port D,1,5.70e+03,-69,2.06e+03,3.00e-08
D-017,D-017,Port D,1,2.45e+04,-74,6.75e+03,6.76e-09
D-018,D-018,Port D,1,1.10e+04,-69,4.00e+03,1.56e-08
D-019,D-019,Port D,1,1.62e+04,-57,8.76e+03,1.17e-08
D-020,D-020,Port D,1,1.26e+04,-70,4.30e+03,1.35e-08
D-021,D-021,Port D,1,3.51e+03,-71,1.17e+03,4.80e-08
D-022,D-022,Port D,1,1.43e+04,-58,7.59e+03,1.31e-08
D-023,D-023,Port D,1,9.34e+03,-63,4.17e+03,1.91e-08
D-024,D-024,Port D,1,2.84e+04,-30,2.47e+04,1.13e-08
D-025,D-025,Port D,1,1.23e+04,-25,1.11e+04,3.07e-08
D-026,D-026,Port D,1,7.00e+03,-26,6.30e+03,5.21e-08
D-027,D-027,Port D,1,1.75e+04,-24,1.61e+04,2.27e-08
D-028,D-028,Port D,1,1.38e+06,-39,1.07e+06,1.82e-10
D-029,D-029,Port D,1,8.97e+03,-27,7.97e+03,3.86e-08
D-030,D-030,Port D,1,2.18e+05,-26,1.96e+05,1.64e-09
D-031,D-031,Port D,1,6.39e+05,-35,5.22e+05,4.32e-10
