Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 46.3679 Hz (ohms),Impedance Phase at 46.3679 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,3.93e+07,-12,3.85e+07,4.29e-10
D-001,D-001,Port D,1,2.10e+08,-37,1.68e+08,2.72e-11
D-002,D-002,Port D,1,2.86e+08,-33,2.41e+08,2.23e-11
D-003,D-003,Port D,1,4.98e+08,-33,4.15e+08,1.25e-11
D-004,pt10,Port D,1,2.37e+04,101,-4.41e+03,-1.48e-07
D-005,pt05,Port D,1,6.28e+04,-83,7.58e+03,5.51e-08
D-006,ir10,Port D,1,7.16e+04,-70,2.50e+04,5.11e-08
D-007,ir05,Port D,1,8.61e+04,-83,1.10e+04,4.02e-08
D-008,pt01,Port D,1,6.35e+04,-80,1.13e+04,5.49e-08
D-009,pt02,Port D,1,5.42e+04,-82,7.44e+03,6.39e-08
D-010,pt03,Port D,1,2.35e+05,-7,2.33e+05,1.13e-07
D-011,pt04,Port D,1,5.91e+04,-83,7.24e+03,5.86e-08
D-012,pt06,Port D,1,5.70e+04,-82,7.93e+03,6.08e-08
D-013,pt07,Port D,1,6.34e+04,-84,6.77e+03,5.44e-08
D-014,pt08,Port D,1,6.21e+04,-84,6.50e+03,5.56e-08
D-015,pt09,Port D,1,9.08e+04,-6,9.03e+04,3.49e-07
D-016,g2x2l-2,Port D,1,4.93e+04,-36,3.96e+04,1.17e-07
D-017,g2x2l-1,Port D,1,7.66e+04,-24,6.99e+04,1.09e-07
D-018,g2x2s-2,Port D,1,5.23e+04,-34,4.32e+04,1.17e-07
D-019,g2x2s-1,Port D,1,1.25e+05,-44,9.05e+04,3.99e-08
D-020,g3x3s-2,Port D,1,1.15e+05,-64,5.12e+04,3.32e-08
D-021,g3x3s-1,Port D,1,5.77e+04,-83,7.00e+03,6.00e-08
D-022,g1x1-2,Port D,1,7.55e+04,-49,5.00e+04,6.07e-08
D-023,g1x1-1,Port D,1,7.71e+04,-23,7.11e+04,1.15e-07
D-024,ir01,Port D,1,8.61e+04,-80,1.50e+04,4.05e-08
D-025,ir02,Port D,1,3.49e+04,-21,3.25e+04,2.70e-07
D-026,ir03,Port D,1,4.67e+04,-70,1.62e+04,7.83e-08
D-027,ir04,Port D,1,7.54e+04,-25,6.86e+04,1.10e-07
D-028,ir06,Port D,1,2.47e+06,-3,2.46e+06,2.46e-08
D-029,ir07,Port D,1,6.57e+04,-74,1.80e+04,5.43e-08
D-030,ir08,Port D,1,1.71e+05,-14,1.66e+05,8.49e-08
D-031,ir09,Port D,1,9.89e+05,-9,9.76e+05,2.13e-08
