Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 215.827 Hz (ohms),Impedance Phase at 215.827 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,4.29e+03,123,-2.34e+03,-2.05e-07
D-001,D-001,Port D,1,1.68e+08,-91,-2.18e+06,4.39e-12
D-002,D-002,Port D,1,8.91e+07,-42,6.65e+07,1.24e-11
D-003,D-003,Port D,1,2.49e+08,-87,1.38e+07,2.96e-12
D-004,pt10,Port D,1,1.04e+04,-23,9.55e+03,1.83e-07
D-005,pt05,Port D,1,6.34e+03,-63,2.90e+03,1.31e-07
D-006,ir10,Port D,1,1.41e+04,-28,1.25e+04,1.12e-07
D-007,ir05,Port D,1,9.90e+03,-18,9.42e+03,2.43e-07
D-008,pt01,Port D,1,6.40e+03,-28,5.67e+03,2.48e-07
D-009,pt02,Port D,1,6.08e+03,-70,2.11e+03,1.29e-07
D-010,pt03,Port D,1,1.53e+05,-12,1.50e+05,2.34e-08
D-011,pt04,Port D,1,5.62e+03,-73,1.65e+03,1.37e-07
D-012,pt06,Port D,1,9.10e+03,-18,8.65e+03,2.59e-07
D-013,pt07,Port D,1,1.01e+04,-20,9.47e+03,2.14e-07
D-014,pt08,Port D,1,9.20e+03,-20,8.66e+03,2.37e-07
D-015,pt09,Port D,1,8.61e+04,-12,8.43e+04,4.21e-08
D-016,g2x2l-2,Port D,1,1.04e+04,-42,7.72e+03,1.07e-07
D-017,g2x2l-1,Port D,1,4.85e+04,-46,3.38e+04,2.11e-08
D-018,g2x2s-2,Port D,1,1.97e+04,-44,1.43e+04,5.42e-08
D-019,g2x2s-1,Port D,1,2.81e+04,-41,2.12e+04,4.00e-08
D-020,g3x3s-2,Port D,1,2.86e+04,-47,1.95e+04,3.53e-08
D-021,g3x3s-1,Port D,1,7.57e+03,-41,5.72e+03,1.49e-07
D-022,g1x1-2,Port D,1,1.29e+04,-38,1.02e+04,9.39e-08
D-023,g1x1-1,Port D,1,1.79e+04,-40,1.36e+04,6.37e-08
D-024,ir01,Port D,1,3.66e+04,-21,3.41e+04,5.54e-08
D-025,ir02,Port D,1,1.34e+04,-14,1.30e+04,2.21e-07
D-026,ir03,Port D,1,8.68e+03,-15,8.37e+03,3.22e-07
D-027,ir04,Port D,1,2.31e+04,-13,2.25e+04,1.45e-07
D-028,ir06,Port D,1,2.11e+06,-5,2.10e+06,3.85e-09
D-029,ir07,Port D,1,1.18e+04,-20,1.12e+04,1.85e-07
D-030,ir08,Port D,1,2.82e+05,-19,2.67e+05,8.14e-09
D-031,ir09,Port D,1,7.94e+05,-10,7.83e+05,5.50e-09
