Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 5000 Hz (ohms),Impedance Phase at 5000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,3.96e+02,-16,3.82e+02,2.98e-07
D-001,D-001,Port D,1,1.33e+06,139,-1.01e+06,-3.64e-11
D-002,D-002,Port D,1,1.37e+06,143,-1.09e+06,-3.88e-11
D-003,D-003,Port D,1,1.21e+06,132,-8.03e+05,-3.51e-11
D-004,pt10,Port D,1,5.02e+03,-87,2.43e+02,6.34e-09
D-005,pt05,Port D,1,7.36e+02,-93,-3.35e+01,4.33e-08
D-006,ir10,Port D,1,6.18e+03,-84,6.82e+02,5.18e-09
D-007,ir05,Port D,1,5.79e+03,-76,1.44e+03,5.67e-09
D-008,pt01,Port D,1,2.32e+03,-77,5.17e+02,1.41e-08
D-009,pt02,Port D,1,6.12e+02,-72,1.87e+02,5.47e-08
D-010,pt03,Port D,1,1.14e+05,-71,3.73e+04,2.96e-10
D-011,pt04,Port D,1,5.68e+02,-59,2.90e+02,6.52e-08
D-012,pt06,Port D,1,5.01e+03,-61,2.43e+03,7.27e-09
D-013,pt07,Port D,1,4.91e+03,-57,2.69e+03,7.74e-09
D-014,pt08,Port D,1,4.83e+03,-54,2.81e+03,8.09e-09
D-015,pt09,Port D,1,5.43e+04,-50,3.49e+04,7.64e-10
D-016,g2x2l-2,Port D,1,1.63e+03,-137,-1.19e+03,2.86e-08
D-017,g2x2l-1,Port D,1,6.37e+03,-144,-5.15e+03,8.50e-09
D-018,g2x2s-2,Port D,1,3.20e+03,-127,-1.94e+03,1.25e-08
D-019,g2x2s-1,Port D,1,5.43e+03,-121,-2.80e+03,6.84e-09
D-020,g3x3s-2,Port D,1,4.14e+03,-126,-2.46e+03,9.55e-09
D-021,g3x3s-1,Port D,1,9.44e+02,-129,-5.94e+02,4.34e-08
D-022,g1x1-2,Port D,1,2.19e+03,-110,-7.60e+02,1.55e-08
D-023,g1x1-1,Port D,1,2.94e+03,-120,-1.48e+03,1.25e-08
D-024,ir01,Port D,1,2.20e+04,-70,7.53e+03,1.54e-09
D-025,ir02,Port D,1,8.30e+03,-70,2.78e+03,4.07e-09
D-026,ir03,Port D,1,5.28e+03,-65,2.25e+03,6.66e-09
D-027,ir04,Port D,1,1.60e+04,-57,8.77e+03,2.38e-09
D-028,ir06,Port D,1,1.00e+06,-115,-4.31e+05,3.51e-11
D-029,ir07,Port D,1,5.93e+03,-57,3.27e+03,6.44e-09
D-030,ir08,Port D,1,1.79e+05,-59,9.19e+04,2.07e-10
D-031,ir09,Port D,1,3.09e+05,-79,5.96e+04,1.05e-10
