Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 100 Hz (ohms),Impedance Phase at 100 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,1.46e+04,103,-3.36e+03,-1.12e-07
D-001,D-001,Port D,1,2.88e+08,-70,9.65e+07,5.87e-12
D-002,D-002,Port D,1,2.11e+08,-43,1.55e+08,1.11e-11
D-003,D-003,Port D,1,4.37e+08,-56,2.43e+08,4.38e-12
D-004,pt10,Port D,1,2.83e+04,-65,1.20e+04,6.20e-08
D-005,pt05,Port D,1,2.07e+04,-80,3.53e+03,7.78e-08
D-006,ir10,Port D,1,1.80e+04,-31,1.54e+04,1.70e-07
D-007,ir05,Port D,1,2.62e+04,-63,1.18e+04,6.81e-08
D-008,pt01,Port D,1,2.16e+04,-69,7.80e+03,7.89e-08
D-009,pt02,Port D,1,2.19e+04,-79,4.01e+03,7.38e-08
D-010,pt03,Port D,1,1.64e+05,-9,1.62e+05,6.00e-08
D-011,pt04,Port D,1,2.10e+04,-85,1.84e+03,7.60e-08
D-012,pt06,Port D,1,2.37e+04,-61,1.16e+04,7.67e-08
D-013,pt07,Port D,1,2.80e+04,-60,1.39e+04,6.54e-08
D-014,pt08,Port D,1,2.29e+04,-59,1.18e+04,8.09e-08
D-015,pt09,Port D,1,9.27e+04,-10,9.14e+04,9.94e-08
D-016,g2x2l-2,Port D,1,3.42e+04,-68,1.27e+04,5.01e-08
D-017,g2x2l-1,Port D,1,6.62e+04,-37,5.27e+04,3.97e-08
D-018,g2x2s-2,Port D,1,2.80e+04,-38,2.21e+04,9.22e-08
D-019,g2x2s-1,Port D,1,3.84e+04,-36,3.09e+04,6.96e-08
D-020,g3x3s-2,Port D,1,4.10e+04,-41,3.09e+04,5.92e-08
D-021,g3x3s-1,Port D,1,2.84e+04,-72,9.01e+03,5.91e-08
D-022,g1x1-2,Port D,1,1.66e+04,-34,1.39e+04,1.73e-07
D-023,g1x1-1,Port D,1,2.49e+04,-38,1.95e+04,1.03e-07
D-024,ir01,Port D,1,4.39e+04,-23,4.03e+04,9.12e-08
D-025,ir02,Port D,1,1.50e+04,-17,1.43e+04,3.58e-07
D-026,ir03,Port D,1,2.35e+04,-63,1.05e+04,7.59e-08
D-027,ir04,Port D,1,2.53e+04,-14,2.46e+04,2.59e-07
D-028,ir06,Port D,1,2.37e+06,-7,2.35e+06,5.36e-09
D-029,ir07,Port D,1,1.39e+04,-25,1.26e+04,2.70e-07
D-030,ir08,Port D,1,3.25e+05,-18,3.09e+05,1.58e-08
D-031,ir09,Port D,1,1.03e+06,-16,9.90e+05,5.50e-09
