Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,3630.0,-24,66.0955,51.87667011081132,1.7272
d-025,IR02,9760.0,-24,66.0955,62.13831757747426,0.8103
d-026,IR03,384.0,-20,66.0955,365.16563186985593,1.1716
d-027,IR04,2020.0,-26,66.0955,81.44877649938122,1.2028
d-011,IR05,1420.0,-25,66.0955,166.115598727033,1.4268
d-023,IR06,6570.0,-31,66.0955,16.739738814376377,1.377
d-022,IR07,8850.0,-41,66.0955,0.0,0.594
d-021,IR08,3540.0,-28,66.0955,74.672789896769,0.8375
d-020,IR09,4720.0,-31,66.0955,64.37812695434945,1.008
d-004,IR10,10400.0,-40,66.0955,20.123984610753855,1.2387
d-028,PT01,5330.0,-29,66.0955,0.0,3.2472
d-029,PT02,2840.0,-24,66.0955,38.46316280121492,2.1784
d-030,PT03,20200.0,-20,66.0955,11.161734565997616,2.0868
d-031,PT04,5650.0,-24,66.0955,25.948995586220537,2.3458
d-015,PT05,5670.0,-24,66.0955,38.3580626670381,2.0832
d-019,PT06,753.0,-53,66.0955,50.71764597656921,2.6302
d-018,PT07,1990.0,-71,66.0955,55.82446653875249,2.1168
d-017,PT08,1050.0,-6,66.0955,93.42622285235443,1.7199
d-016,PT09,1640.0,-49,66.0955,96.98301938942892,1.607
d-000,PT10,798.0,-57,66.0955,54.302702196995185,2.8304
