Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 100 Hz (ohms),Impedance Phase at 100 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,1.60e+05,96,-1.61e+04,-1.00e-08
D-001,D-001,Port D,1,2.43e+08,-75,6.32e+07,6.78e-12
D-002,D-002,Port D,1,1.38e+08,-31,1.18e+08,2.25e-11
D-003,D-003,Port D,1,4.28e+08,-58,2.29e+08,4.40e-12
D-004,D-004,Port D,1,2.71e+04,-58,1.44e+04,6.94e-08
D-005,D-005,Port D,1,1.97e+04,-78,4.09e+03,8.26e-08
D-006,D-006,Port D,1,1.78e+04,-32,1.52e+04,1.71e-07
D-007,D-007,Port D,1,2.33e+04,-58,1.22e+04,8.02e-08
D-008,D-008,Port D,1,2.20e+04,-71,7.21e+03,7.66e-08
D-009,D-009,Port D,1,1.91e+04,-76,4.67e+03,8.59e-08
D-010,D-010,Port D,1,1.79e+05,-9,1.77e+05,5.54e-08
D-011,D-011,Port D,1,1.79e+04,-81,2.76e+03,8.99e-08
D-012,D-012,Port D,1,2.52e+04,-60,1.26e+04,7.29e-08
D-013,D-013,Port D,1,1.27e+04,-23,1.17e+04,3.16e-07
D-014,D-014,Port D,1,2.41e+04,-57,1.29e+04,7.85e-08
D-015,D-015,Port D,1,8.49e+04,-14,8.25e+04,7.86e-08
D-016,D-016,Port D,1,1.72e+04,-40,1.32e+04,1.43e-07
D-017,D-017,Port D,1,7.34e+04,-34,6.06e+04,3.84e-08
D-018,D-018,Port D,1,3.31e+04,-35,2.70e+04,8.34e-08
D-019,D-019,Port D,1,4.27e+04,-34,3.54e+04,6.66e-08
D-020,D-020,Port D,1,4.17e+04,-41,3.17e+04,5.86e-08
D-021,D-021,Port D,1,2.63e+04,-67,1.01e+04,6.55e-08
D-022,D-022,Port D,1,3.41e+04,-29,3.00e+04,9.76e-08
D-023,D-023,Port D,1,2.62e+04,-38,2.07e+04,9.90e-08
D-024,D-024,Port D,1,4.39e+04,-23,4.05e+04,9.46e-08
D-025,D-025,Port D,1,1.65e+04,-18,1.57e+04,3.15e-07
D-026,D-026,Port D,1,2.22e+04,-61,1.07e+04,8.16e-08
D-027,D-027,Port D,1,2.28e+04,-15,2.20e+04,2.68e-07
D-028,D-028,Port D,1,2.24e+06,-6,2.23e+06,6.33e-09
D-029,D-029,Port D,1,1.38e+04,-24,1.26e+04,2.81e-07
D-030,D-030,Port D,1,3.10e+05,-16,2.98e+05,1.85e-08
D-031,D-031,Port D,1,1.04e+06,-15,1.01e+06,5.95e-09
