Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 46.3679 Hz (ohms),Impedance Phase at 46.3679 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,9.09e+05,94,-5.76e+04,-3.79e-09
D-001,D-001,Port D,1,4.01e+08,-55,2.33e+08,1.05e-11
D-002,D-002,Port D,1,3.20e+08,-33,2.68e+08,1.98e-11
D-003,D-003,Port D,1,5.92e+08,-40,4.55e+08,9.08e-12
D-004,D-004,Port D,1,6.63e+04,-76,1.57e+04,5.33e-08
D-005,D-005,Port D,1,5.86e+04,-84,6.21e+03,5.89e-08
D-006,D-006,Port D,1,6.91e+04,-70,2.40e+04,5.30e-08
D-007,D-007,Port D,1,5.59e+04,-76,1.31e+04,6.32e-08
D-008,D-008,Port D,1,6.01e+04,-76,1.43e+04,5.88e-08
D-009,D-009,Port D,1,5.77e+04,-84,6.16e+03,5.98e-08
D-010,D-010,Port D,1,1.91e+05,-9,1.89e+05,1.21e-07
D-011,D-011,Port D,1,5.88e+04,-85,5.50e+03,5.86e-08
D-012,D-012,Port D,1,6.03e+04,-75,1.59e+04,5.90e-08
D-013,D-013,Port D,1,6.29e+04,-74,1.74e+04,5.68e-08
D-014,D-014,Port D,1,6.15e+04,-72,1.86e+04,5.85e-08
D-015,D-015,Port D,1,9.48e+04,-13,9.23e+04,1.56e-07
D-016,D-016,Port D,1,6.54e+04,-77,1.51e+04,5.39e-08
D-017,D-017,Port D,1,8.76e+04,-28,7.74e+04,8.35e-08
D-018,D-018,Port D,1,4.14e+04,-34,3.44e+04,1.50e-07
D-019,D-019,Port D,1,1.09e+05,-41,8.23e+04,4.78e-08
D-020,D-020,Port D,1,1.18e+05,-55,6.76e+04,3.54e-08
D-021,D-021,Port D,1,7.47e+04,-78,1.59e+04,4.70e-08
D-022,D-022,Port D,1,1.06e+05,-52,6.52e+04,4.12e-08
D-023,D-023,Port D,1,9.72e+04,-70,3.39e+04,3.77e-08
D-024,D-024,Port D,1,5.48e+04,-26,4.94e+04,1.44e-07
D-025,D-025,Port D,1,5.70e+04,-73,1.63e+04,6.28e-08
D-026,D-026,Port D,1,6.03e+04,-87,3.62e+03,5.70e-08
D-027,D-027,Port D,1,6.09e+04,-68,2.29e+04,6.09e-08
D-028,D-028,Port D,1,2.34e+06,-5,2.34e+06,1.79e-08
D-029,D-029,Port D,1,6.30e+04,-70,2.12e+04,5.79e-08
D-030,D-030,Port D,1,3.51e+05,-15,3.39e+05,3.70e-08
D-031,D-031,Port D,1,1.13e+06,-8,1.12e+06,2.10e-08
