Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,46800.0,-35,66.342,8.387865866332834,1.7272
d-025,IR02,49400.0,-32,66.342,30.40591681368379,0.8103
d-026,IR03,40000.0,-33,66.342,355.9125806481564,1.1716
d-027,IR04,57800.0,-31,66.342,8.432886831557942,1.2028
d-007,IR05,42000.0,-36,66.342,108.80487028047632,1.4268
d-028,IR06,155000.0,-17,66.342,3.3898279372187785,1.377
d-029,IR07,10700.0,-24,66.342,0.0,0.594
d-030,IR08,77000.0,-22,66.342,8.978872829721437,0.8375
d-031,IR09,11300.0,-27,66.342,45.593842341054206,1.008
d-006,IR10,10300.0,-31,66.342,24.2374489704585,1.2387
d-008,PT01,3540.0,-40,66.342,0.0,3.2472
d-009,PT02,586.0,-32,66.342,155.06004656159945,2.1784
d-010,PT03,54700.0,-25,66.342,4.160341027824354,2.0868
d-011,PT04,557.0,-30,66.342,118.50544566530947,2.3458
d-005,PT05,989.0,-48,66.342,56.48590880446153,2.0832
d-012,PT06,836.0,-64,66.342,36.87433572659319,2.6302
d-013,PT07,757.0,-60,66.342,52.350427350455334,2.1168
d-014,PT08,896.0,-61,66.342,64.34028437604393,1.7199
d-015,PT09,826.0,-57,66.342,62.43391779923815,1.607
d-004,PT10,1120.0,-70,66.342,27.052761357630867,2.8304
d-023,G1X1-1,7630.0,-54,66.342,4.244570135746778,4.0
d-022,G1X1-2,13700.0,-58,66.342,1.0499056158564237,4.0
d-021,G3X3S-1,11100.0,-67,66.342,0.9530526532612703,3.9204
d-020,G3X3S-2,9320.0,-58,66.342,2.656893152760963,3.9204
d-019,G2X2S-1,12000.0,-57,66.342,1.5488088660846326,3.9601
d-018,G2X2S-2,5170.0,-60,66.342,5.162226053112596,3.9601
d-017,G2X2L-1,16100.0,-57,66.342,1.0546153846152035,4.0
d-016,G2X2L-2,12300.0,-60,66.342,1.7502958579881231,4.0
