Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 2142.86 Hz (ohms),Impedance Phase at 2142.86 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,6.26e+03,172,-6.20e+03,-8.53e-08
D-001,D-001,Port D,1,7.16e+06,-179,-7.15e+06,5.19e-10
D-002,D-002,Port D,1,8.56e+06,-166,-8.29e+06,3.48e-11
D-003,D-003,Port D,1,8.35e+06,173,-8.28e+06,-6.96e-11
D-004,pt10,Port D,1,6.37e+03,-54,3.71e+03,1.43e-08
D-005,pt05,Port D,1,1.12e+03,-66,4.57e+02,7.23e-08
D-006,ir10,Port D,1,8.08e+03,-55,4.68e+03,1.13e-08
D-007,ir05,Port D,1,7.16e+03,-46,4.97e+03,1.44e-08
D-008,pt01,Port D,1,3.21e+03,-55,1.83e+03,2.82e-08
D-009,pt02,Port D,1,8.34e+02,-55,4.83e+02,1.09e-07
D-010,pt03,Port D,1,1.20e+05,-44,8.57e+04,8.87e-10
D-011,pt04,Port D,1,7.19e+02,-43,5.29e+02,1.52e-07
D-012,pt06,Port D,1,6.33e+03,-40,4.82e+03,1.81e-08
D-013,pt07,Port D,1,6.41e+03,-41,4.85e+03,1.77e-08
D-014,pt08,Port D,1,6.21e+03,-39,4.84e+03,1.91e-08
D-015,pt09,Port D,1,6.66e+04,-34,5.50e+04,1.98e-09
D-016,g2x2l-2,Port D,1,3.20e+03,-96,-3.16e+02,2.33e-08
D-017,g2x2l-1,Port D,1,1.27e+04,-100,-2.24e+03,5.95e-09
D-018,g2x2s-2,Port D,1,5.74e+03,-90,3.05e+01,1.29e-08
D-019,g2x2s-1,Port D,1,9.24e+03,-84,9.71e+02,8.08e-09
D-020,g3x3s-2,Port D,1,7.70e+03,-92,-2.25e+02,9.65e-09
D-021,g3x3s-1,Port D,1,1.91e+03,-96,-1.94e+02,3.91e-08
D-022,g1x1-2,Port D,1,3.88e+03,-83,4.58e+02,1.93e-08
D-023,g1x1-1,Port D,1,5.70e+03,-87,2.56e+02,1.30e-08
D-024,ir01,Port D,1,2.50e+04,-48,1.68e+04,4.01e-09
D-025,ir02,Port D,1,1.01e+04,-42,7.54e+03,1.09e-08
D-026,ir03,Port D,1,6.54e+03,-41,4.94e+03,1.73e-08
D-027,ir04,Port D,1,1.79e+04,-39,1.39e+04,6.52e-09
D-028,ir06,Port D,1,1.63e+06,-70,5.50e+05,4.83e-11
D-029,ir07,Port D,1,7.73e+03,-41,5.85e+03,1.47e-08
D-030,ir08,Port D,1,1.98e+05,-41,1.49e+05,5.69e-10
D-031,ir09,Port D,1,4.88e+05,-60,2.45e+05,1.76e-10
