Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 215.827 Hz (ohms),Impedance Phase at 215.827 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,3.01e+04,104,-7.05e+03,-2.52e-08
D-001,D-001,Port D,1,1.44e+08,-89,2.54e+06,5.12e-12
D-002,D-002,Port D,1,7.38e+07,-37,5.93e+07,1.68e-11
D-003,D-003,Port D,1,2.49e+08,-89,3.66e+06,2.96e-12
D-004,pt10,Port D,1,1.07e+04,-23,9.89e+03,1.79e-07
D-005,pt05,Port D,1,4.97e+03,-61,2.41e+03,1.70e-07
D-006,ir10,Port D,1,1.37e+04,-28,1.21e+04,1.14e-07
D-007,ir05,Port D,1,9.77e+03,-16,9.38e+03,2.67e-07
D-008,pt01,Port D,1,6.37e+03,-27,5.69e+03,2.56e-07
D-009,pt02,Port D,1,6.27e+03,-68,2.30e+03,1.26e-07
D-010,pt03,Port D,1,1.51e+05,-12,1.48e+05,2.42e-08
D-011,pt04,Port D,1,5.36e+03,-71,1.76e+03,1.45e-07
D-012,pt06,Port D,1,9.46e+03,-18,8.99e+03,2.48e-07
D-013,pt07,Port D,1,1.02e+04,-20,9.60e+03,2.15e-07
D-014,pt08,Port D,1,9.67e+03,-19,9.11e+03,2.29e-07
D-015,pt09,Port D,1,8.65e+04,-12,8.45e+04,4.04e-08
D-016,g2x2l-2,Port D,1,1.11e+04,-42,8.17e+03,9.86e-08
D-017,g2x2l-1,Port D,1,5.20e+04,-44,3.76e+04,2.06e-08
D-018,g2x2s-2,Port D,1,2.15e+04,-43,1.58e+04,5.05e-08
D-019,g2x2s-1,Port D,1,3.17e+04,-38,2.51e+04,3.80e-08
D-020,g3x3s-2,Port D,1,2.93e+04,-47,2.00e+04,3.44e-08
D-021,g3x3s-1,Port D,1,7.26e+03,-41,5.52e+03,1.56e-07
D-022,g1x1-2,Port D,1,1.46e+04,-36,1.19e+04,8.71e-08
D-023,g1x1-1,Port D,1,5.39e+04,-24,4.91e+04,3.30e-08
D-024,ir01,Port D,1,3.67e+04,-21,3.42e+04,5.56e-08
D-025,ir02,Port D,1,1.40e+04,-13,1.36e+04,2.38e-07
D-026,ir03,Port D,1,8.45e+03,-16,8.12e+03,3.14e-07
D-027,ir04,Port D,1,2.18e+04,-13,2.12e+04,1.56e-07
D-028,ir06,Port D,1,2.10e+06,-5,2.09e+06,3.73e-09
D-029,ir07,Port D,1,1.18e+04,-20,1.11e+04,1.86e-07
D-030,ir08,Port D,1,2.55e+05,-18,2.42e+05,9.15e-09
D-031,ir09,Port D,1,8.16e+05,-11,8.02e+05,4.83e-09
