Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 461.538 Hz (ohms),Impedance Phase at 461.538 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,7.42e+03,117,-3.38e+03,-5.22e-08
D-001,D-001,Port D,1,8.09e+07,-112,-3.06e+07,4.61e-12
D-002,D-002,Port D,1,5.71e+07,-70,1.94e+07,6.41e-12
D-003,D-003,Port D,1,1.09e+08,-116,-4.84e+07,3.55e-12
D-004,pt10,Port D,1,8.72e+03,-26,7.85e+03,9.11e-08
D-005,pt05,Port D,1,2.03e+03,-33,1.70e+03,3.10e-07
D-006,ir10,Port D,1,1.17e+04,-29,1.02e+04,6.13e-08
D-007,ir05,Port D,1,8.92e+03,-19,8.45e+03,1.20e-07
D-008,pt01,Port D,1,5.15e+03,-30,4.44e+03,1.32e-07
D-009,pt02,Port D,1,1.43e+03,-43,1.05e+03,3.54e-07
D-010,pt03,Port D,1,1.42e+05,-17,1.36e+05,8.19e-09
D-011,pt04,Port D,1,1.06e+03,-33,8.93e+02,6.02e-07
D-012,pt06,Port D,1,8.07e+03,-19,7.65e+03,1.33e-07
D-013,pt07,Port D,1,8.71e+03,-21,8.14e+03,1.11e-07
D-014,pt08,Port D,1,8.08e+03,-20,7.61e+03,1.27e-07
D-015,pt09,Port D,1,7.95e+04,-16,7.66e+04,1.61e-08
D-016,g2x2l-2,Port D,1,7.36e+03,-50,4.78e+03,6.16e-08
D-017,g2x2l-1,Port D,1,3.24e+04,-56,1.80e+04,1.28e-08
D-018,g2x2s-2,Port D,1,1.35e+04,-53,8.21e+03,3.20e-08
D-019,g2x2s-1,Port D,1,1.99e+04,-49,1.31e+04,2.31e-08
D-020,g3x3s-2,Port D,1,1.93e+04,-55,1.09e+04,2.17e-08
D-021,g3x3s-1,Port D,1,5.30e+03,-53,3.17e+03,8.11e-08
D-022,g1x1-2,Port D,1,9.28e+03,-47,6.33e+03,5.08e-08
D-023,g1x1-1,Port D,1,1.30e+04,-49,8.61e+03,3.53e-08
D-024,ir01,Port D,1,3.20e+04,-22,2.96e+04,2.82e-08
D-025,ir02,Port D,1,1.23e+04,-17,1.18e+04,9.82e-08
D-026,ir03,Port D,1,8.06e+03,-17,7.69e+03,1.43e-07
D-027,ir04,Port D,1,2.14e+04,-15,2.07e+04,6.21e-08
D-028,ir06,Port D,1,1.97e+06,-19,1.86e+06,5.35e-10
D-029,ir07,Port D,1,1.04e+04,-21,9.76e+03,9.35e-08
D-030,ir08,Port D,1,2.48e+05,-22,2.30e+05,3.78e-09
D-031,ir09,Port D,1,6.77e+05,-22,6.30e+05,1.39e-09
