Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,565.0,-41,66.3155,136.52782522493433,1.7272
a-025,IR02,439.0,-43,66.3155,306.5417044985637,0.8103
a-026,IR03,438.0,-42,66.3155,222.38065591549918,1.1716
a-027,IR04,809.0,-44,66.3155,108.56932115661724,1.2028
a-011,IR05,805.0,-43,66.3155,129.7661230529218,1.4268
a-023,IR06,860.0,-40,66.3155,259.02473017798206,1.377
a-022,IR07,1360.0,-31,66.3155,0.0,0.594
a-021,IR08,1060.0,-31,66.3155,328.27212773347014,0.8375
a-020,IR09,597.0,-35,66.3155,314.6481990231466,1.008
a-004,IR10,713.0,-36,66.3155,260.3600794632168,1.2387
a-028,PT01,164.0,44,66.3155,0.0,3.2472
a-029,PT02,539.0,-44,66.3155,68.89951233677785,2.1784
a-030,PT03,473.0,-39,66.3155,6.4273468528823585,2.0868
a-031,PT04,946.0,-27,66.3155,76.54791408743444,2.3458
a-015,PT05,990.0,-33,66.3155,95.56270342561872,2.0832
a-019,PT06,352.0,-55,66.3155,92.345517256189,2.6302
a-018,PT07,495.0,-52,66.3155,110.82584743299766,2.1168
a-017,PT08,1190.0,-42,66.3155,136.00060711014558,1.7199
a-016,PT09,841.0,-42,66.3155,231.55904456468681,1.607
a-000,PT10,685.0,-50,66.3155,14.885999623135172,2.8304
