Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 30 Hz (ohms),Impedance Phase at 30 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,1.29e+05,94,-9.70e+03,-4.13e-08
D-001,D-001,Port D,1,2.55e+08,-28,2.25e+08,4.43e-11
D-002,D-002,Port D,1,3.26e+08,-30,2.82e+08,3.24e-11
D-003,D-003,Port D,1,5.36e+08,-29,4.70e+08,2.07e-11
D-004,D-004,Port D,1,1.09e+05,-79,2.01e+04,4.96e-08
D-005,D-005,Port D,1,9.89e+04,-85,8.41e+03,5.39e-08
D-006,D-006,Port D,1,1.09e+05,-74,3.07e+04,5.06e-08
D-007,D-007,Port D,1,1.04e+05,-77,2.29e+04,5.22e-08
D-008,D-008,Port D,1,1.03e+05,-83,1.30e+04,5.19e-08
D-009,D-009,Port D,1,1.02e+05,-84,1.03e+04,5.25e-08
D-010,D-010,Port D,1,1.96e+05,-8,1.94e+05,1.84e-07
D-011,D-011,Port D,1,9.86e+04,-84,9.82e+03,5.41e-08
D-012,D-012,Port D,1,1.03e+05,-78,2.14e+04,5.27e-08
D-013,D-013,Port D,1,1.05e+05,-79,2.00e+04,5.14e-08
D-014,D-014,Port D,1,1.02e+05,-78,2.14e+04,5.32e-08
D-015,D-015,Port D,1,1.00e+05,-14,9.70e+04,2.14e-07
D-016,D-016,Port D,1,1.22e+05,-76,2.93e+04,4.49e-08
D-017,D-017,Port D,1,1.08e+05,-29,9.46e+04,1.02e-07
D-018,D-018,Port D,1,1.29e+05,-69,4.61e+04,4.39e-08
D-019,D-019,Port D,1,1.32e+05,-60,6.55e+04,4.64e-08
D-020,D-020,Port D,1,1.47e+05,-66,6.08e+04,3.97e-08
D-021,D-021,Port D,1,1.04e+05,-79,1.97e+04,5.22e-08
D-022,D-022,Port D,1,1.18e+05,-66,4.70e+04,4.91e-08
D-023,D-023,Port D,1,1.31e+05,-70,4.47e+04,4.30e-08
D-024,D-024,Port D,1,1.30e+05,-63,5.98e+04,4.62e-08
D-025,D-025,Port D,1,1.04e+05,-75,2.63e+04,5.28e-08
D-026,D-026,Port D,1,1.02e+05,-80,1.76e+04,5.28e-08
D-027,D-027,Port D,1,1.51e+05,-63,6.85e+04,3.95e-08
D-028,D-028,Port D,1,2.53e+06,-6,2.52e+06,2.10e-08
D-029,D-029,Port D,1,1.01e+05,-79,1.90e+04,5.33e-08
D-030,D-030,Port D,1,3.85e+05,-15,3.72e+05,5.37e-08
D-031,D-031,Port D,1,1.21e+06,-8,1.20e+06,3.15e-08
