Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
A-000,pt10,Port A,1,6.29e+02,-65,2.64e+02,2.79e-07
A-001,A-001,Port A,0,2.86e+07,-141,-2.21e+07,8.77e-12
A-002,A-002,Port A,0,2.99e+07,-133,-2.03e+07,7.27e-12
A-003,A-003,Port A,0,3.45e+07,-150,-2.98e+07,9.12e-12
A-004,ir10,Port A,1,1.55e+03,-44,1.12e+03,1.48e-07
A-005,A-005,Port A,0,4.26e+04,172,-4.22e+04,-2.77e-08
A-006,A-006,Port A,0,3.27e+07,-135,-2.32e+07,6.92e-12
A-007,A-007,Port A,0,7.01e+04,-165,-6.77e+04,8.74e-09
A-008,A-008,Port A,0,2.70e+07,-127,-1.61e+07,7.36e-12
A-009,A-009,Port A,0,2.85e+07,-119,-1.37e+07,6.38e-12
A-010,A-010,Port A,0,2.89e+07,-128,-1.79e+07,7.00e-12
A-011,ir05,Port A,1,4.22e+02,-43,3.09e+02,5.55e-07
A-012,A-012,Port A,0,2.92e+07,-123,-1.61e+07,6.52e-12
A-013,A-013,Port A,0,3.80e+07,-127,-2.29e+07,5.26e-12
A-014,A-014,Port A,0,2.96e+07,-89,5.20e+05,5.38e-12
A-015,pt05,Port A,1,9.36e+02,-46,6.51e+02,2.36e-07
A-016,pt09,Port A,1,6.18e+02,-62,2.87e+02,2.91e-07
A-017,pt08,Port A,1,6.97e+02,-68,2.62e+02,2.47e-07
A-018,pt07,Port A,1,3.25e+02,-69,1.15e+02,5.23e-07
A-019,pt06,Port A,1,4.10e+02,-74,1.12e+02,4.03e-07
A-020,ir09,Port A,1,1.41e+03,-41,1.06e+03,1.71e-07
A-021,ir08,Port A,1,7.88e+02,-40,6.00e+02,3.12e-07
A-022,ir07,Port A,1,8.19e+02,-38,6.43e+02,3.14e-07
A-023,ir06,Port A,1,7.09e+02,-37,5.65e+02,3.72e-07
A-024,ir01,Port A,1,1.34e+02,-53,8.03e+01,1.48e-06
A-025,ir02,Port A,1,2.86e+02,-16,2.74e+02,1.98e-06
A-026,ir03,Port A,1,2.62e+02,-25,2.37e+02,1.44e-06
A-027,ir04,Port A,1,4.01e+02,-19,3.80e+02,1.23e-06
A-028,pt01,Port A,1,5.88e+04,-38,4.65e+04,4.42e-09
A-029,pt02,Port A,1,3.93e+02,-62,1.86e+02,4.59e-07
A-030,pt03,Port A,1,4.90e+02,-36,3.97e+02,5.54e-07
A-031,pt04,Port A,1,5.96e+02,-58,3.16e+02,3.15e-07
