Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
A-000,pt10,Port A,1,8.64e+02,-62,4.11e+02,2.09e-07
A-001,A-001,Port A,0,2.71e+07,-137,-1.97e+07,8.52e-12
A-002,A-002,Port A,0,3.19e+07,-106,-9.05e+06,5.21e-12
A-003,A-003,Port A,0,3.59e+07,-151,-3.14e+07,9.13e-12
A-004,ir10,Port A,1,1.07e+03,-38,8.43e+02,2.42e-07
A-005,A-005,Port A,0,1.00e+06,-144,-8.09e+05,2.69e-10
A-006,A-006,Port A,0,3.48e+07,-128,-2.13e+07,5.78e-12
A-007,A-007,Port A,0,1.05e+06,-156,-9.65e+05,3.77e-10
A-008,A-008,Port A,0,3.70e+07,-134,-2.56e+07,5.95e-12
A-009,A-009,Port A,0,2.82e+07,-89,5.27e+05,5.65e-12
A-010,A-010,Port A,0,3.57e+07,-132,-2.40e+07,6.05e-12
A-011,ir05,Port A,1,7.75e+02,-45,5.43e+02,2.88e-07
A-012,A-012,Port A,0,2.62e+07,-111,-9.57e+06,6.54e-12
A-013,A-013,Port A,0,4.78e+07,-130,-3.07e+07,4.34e-12
A-014,A-014,Port A,0,2.90e+07,-112,-1.08e+07,5.90e-12
A-015,pt05,Port A,1,1.15e+03,-40,8.77e+02,2.13e-07
A-016,pt09,Port A,1,4.36e+02,-66,1.78e+02,4.00e-07
A-017,pt08,Port A,1,6.77e+02,-66,2.72e+02,2.57e-07
A-018,pt07,Port A,1,4.77e+02,-64,2.11e+02,3.71e-07
A-019,pt06,Port A,1,5.53e+02,-68,2.07e+02,3.11e-07
A-020,ir09,Port A,1,9.27e+02,-35,7.61e+02,3.00e-07
A-021,ir08,Port A,1,5.81e+02,-30,5.03e+02,5.48e-07
A-022,ir07,Port A,1,6.90e+02,-30,5.97e+02,4.61e-07
A-023,ir06,Port A,1,5.03e+02,-32,4.25e+02,5.92e-07
A-024,ir01,Port A,1,7.75e+02,-22,7.18e+02,5.42e-07
A-025,ir02,Port A,1,7.00e+02,-31,6.03e+02,4.48e-07
A-026,ir03,Port A,1,5.32e+02,-27,4.73e+02,6.50e-07
A-027,ir04,Port A,1,6.15e+02,-47,4.19e+02,3.53e-07
A-028,pt01,Port A,1,6.61e+02,-38,5.19e+02,3.89e-07
A-029,pt02,Port A,1,5.35e+02,-44,3.86e+02,4.30e-07
A-030,pt03,Port A,1,1.50e+03,-20,1.41e+03,3.13e-07
A-031,pt04,Port A,1,8.87e+02,-34,7.39e+02,3.25e-07
