Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 5000 Hz (ohms),Impedance Phase at 5000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,1.89e+02,-17,1.81e+02,5.84e-07
D-001,D-001,Port D,1,1.34e+06,140,-1.03e+06,-3.66e-11
D-002,D-002,Port D,1,1.38e+06,143,-1.11e+06,-3.87e-11
D-003,D-003,Port D,1,1.25e+06,132,-8.35e+05,-3.44e-11
D-004,D-004,Port D,1,5.22e+03,-88,2.05e+02,6.10e-09
D-005,D-005,Port D,1,7.12e+02,-87,4.12e+01,4.48e-08
D-006,D-006,Port D,1,6.16e+03,-83,7.33e+02,5.21e-09
D-007,D-007,Port D,1,5.53e+03,-76,1.33e+03,5.93e-09
D-008,D-008,Port D,1,2.33e+03,-76,5.51e+02,1.41e-08
D-009,D-009,Port D,1,6.69e+02,-72,2.07e+02,5.01e-08
D-010,D-010,Port D,1,1.24e+05,-71,4.09e+04,2.71e-10
D-011,D-011,Port D,1,6.53e+02,-60,3.26e+02,5.63e-08
D-012,D-012,Port D,1,5.22e+03,-62,2.49e+03,6.94e-09
D-013,D-013,Port D,1,5.11e+03,-57,2.75e+03,7.39e-09
D-014,D-014,Port D,1,5.06e+03,-56,2.86e+03,7.62e-09
D-015,D-015,Port D,1,4.48e+04,-48,3.00e+04,9.57e-10
D-016,D-016,Port D,1,1.74e+03,-138,-1.29e+03,2.72e-08
D-017,D-017,Port D,1,6.98e+03,-147,-5.84e+03,8.32e-09
D-018,D-018,Port D,1,3.63e+03,-130,-2.35e+03,1.15e-08
D-019,D-019,Port D,1,6.89e+03,-112,-2.63e+03,4.99e-09
D-020,D-020,Port D,1,4.04e+03,-127,-2.43e+03,9.86e-09
D-021,D-021,Port D,1,1.01e+03,-128,-6.31e+02,4.00e-08
D-022,D-022,Port D,1,5.40e+03,-108,-1.67e+03,6.20e-09
D-023,D-023,Port D,1,3.05e+03,-121,-1.57e+03,1.22e-08
D-024,D-024,Port D,1,2.19e+04,-69,7.77e+03,1.56e-09
D-025,D-025,Port D,1,9.86e+03,-62,4.64e+03,3.66e-09
D-026,D-026,Port D,1,4.91e+03,-64,2.13e+03,7.21e-09
D-027,D-027,Port D,1,1.39e+04,-56,7.79e+03,2.76e-09
D-028,D-028,Port D,1,9.54e+05,-113,-3.71e+05,3.62e-11
D-029,D-029,Port D,1,5.87e+03,-56,3.31e+03,6.57e-09
D-030,D-030,Port D,1,1.75e+05,-59,9.11e+04,2.13e-10
D-031,D-031,Port D,1,3.22e+05,-79,6.18e+04,1.01e-10
