Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,8.11e+02,100,-1.47e+02,-1.99e-07
D-001,D-001,Port D,1,2.74e+07,-144,-2.20e+07,9.77e-12
D-002,D-002,Port D,1,3.00e+07,-127,-1.83e+07,6.67e-12
D-003,D-003,Port D,1,3.78e+07,-154,-3.39e+07,9.54e-12
D-004,D-004,Port D,1,1.99e+04,-42,1.48e+04,1.20e-08
D-005,D-005,Port D,1,1.44e+03,-45,1.02e+03,1.57e-07
D-006,D-006,Port D,1,9.39e+03,-36,7.55e+03,2.85e-08
D-007,D-007,Port D,1,1.64e+04,-28,1.45e+04,2.03e-08
D-008,D-008,Port D,1,4.05e+03,-39,3.15e+03,6.24e-08
D-009,D-009,Port D,1,1.04e+03,-42,7.75e+02,2.32e-07
D-010,D-010,Port D,1,7.40e+04,-26,6.62e+04,4.82e-09
D-011,D-011,Port D,1,1.12e+03,-40,8.57e+02,2.19e-07
D-012,D-012,Port D,1,1.92e+04,-36,1.56e+04,1.42e-08
D-013,D-013,Port D,1,1.99e+04,-36,1.61e+04,1.37e-08
D-014,D-014,Port D,1,1.94e+04,-35,1.59e+04,1.43e-08
D-015,D-015,Port D,1,4.14e+04,-26,3.73e+04,8.91e-09
D-016,D-016,Port D,1,1.09e+04,-62,5.17e+03,1.66e-08
D-017,D-017,Port D,1,1.92e+04,-68,7.10e+03,8.94e-09
D-018,D-018,Port D,1,8.54e+03,-68,3.21e+03,2.01e-08
D-019,D-019,Port D,1,1.42e+04,-48,9.53e+03,1.52e-08
D-020,D-020,Port D,1,1.48e+04,-72,4.67e+03,1.13e-08
D-021,D-021,Port D,1,1.71e+04,-74,4.65e+03,9.69e-09
D-022,D-022,Port D,1,1.13e+04,-60,5.67e+03,1.63e-08
D-023,D-023,Port D,1,7.11e+03,-56,3.94e+03,2.69e-08
D-024,D-024,Port D,1,8.81e+04,-30,7.66e+04,3.66e-09
D-025,D-025,Port D,1,3.07e+05,-31,2.64e+05,1.02e-09
D-026,D-026,Port D,1,1.50e+04,-26,1.35e+04,2.45e-08
D-027,D-027,Port D,1,3.44e+04,-26,3.10e+04,1.06e-08
D-028,D-028,Port D,1,6.64e+05,-28,5.88e+05,5.15e-10
D-029,D-029,Port D,1,9.00e+03,-27,7.99e+03,3.83e-08
D-030,D-030,Port D,1,6.41e+04,-27,5.71e+04,5.46e-09
D-031,D-031,Port D,1,6.57e+05,-34,5.45e+05,4.34e-10
