Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 46.3679 Hz (ohms),Impedance Phase at 46.3679 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,3.92e+04,98,-5.65e+03,-8.84e-08
D-001,D-001,Port D,1,3.96e+08,-49,2.62e+08,1.16e-11
D-002,D-002,Port D,1,2.87e+08,-32,2.44e+08,2.29e-11
D-003,D-003,Port D,1,5.90e+08,-41,4.43e+08,8.79e-12
D-004,pt10,Port D,1,3.51e+05,163,-3.36e+05,-3.32e-08
D-005,pt05,Port D,1,6.62e+04,-80,1.20e+04,5.28e-08
D-006,ir10,Port D,1,2.31e+05,4,2.31e+05,-2.42e-07
D-007,ir05,Port D,1,1.68e+05,-53,1.00e+05,2.54e-08
D-008,pt01,Port D,1,7.03e+04,-74,1.97e+04,5.08e-08
D-009,pt02,Port D,1,7.33e+04,-86,4.54e+03,4.69e-08
D-010,pt03,Port D,1,1.26e+06,-6,1.26e+06,2.81e-08
D-011,pt04,Port D,1,7.86e+05,-10,7.74e+05,2.47e-08
D-012,pt06,Port D,1,4.72e+05,33,3.97e+05,-1.34e-08
D-013,pt07,Port D,1,6.23e+05,-16,5.97e+05,1.96e-08
D-014,pt08,Port D,1,4.75e+05,-77,1.07e+05,7.41e-09
D-015,pt09,Port D,1,4.84e+06,-6,4.81e+06,6.44e-09
D-016,g2x2l-2,Port D,1,7.43e+04,-76,1.76e+04,4.75e-08
D-017,g2x2l-1,Port D,1,8.41e+04,-81,1.37e+04,4.14e-08
D-018,g2x2s-2,Port D,1,7.96e+04,-86,6.16e+03,4.33e-08
D-019,g2x2s-1,Port D,1,6.56e+04,-95,-5.37e+03,5.25e-08
D-020,g3x3s-2,Port D,1,5.61e+04,-81,8.74e+03,6.20e-08
D-021,g3x3s-1,Port D,1,5.89e+04,-81,9.49e+03,5.91e-08
D-022,g1x1-2,Port D,1,7.61e+04,-71,2.53e+04,4.78e-08
D-023,g1x1-1,Port D,1,9.10e+04,-62,4.28e+04,4.27e-08
D-024,ir01,Port D,1,3.03e+05,-13,2.95e+05,4.96e-08
D-025,ir02,Port D,1,5.38e+05,-13,5.24e+05,2.76e-08
D-026,ir03,Port D,1,1.34e+05,-13,1.31e+05,1.13e-07
D-027,ir04,Port D,1,2.19e+05,1,2.19e+05,-7.35e-07
D-028,ir06,Port D,1,4.46e+05,-9,4.41e+05,4.83e-08
D-029,ir07,Port D,1,2.66e+05,-25,2.40e+05,3.01e-08
D-030,ir08,Port D,1,7.59e+05,3,7.58e+05,-8.93e-08
D-031,ir09,Port D,1,9.96e+05,-10,9.82e+05,2.04e-08
