Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 5000 Hz (ohms),Impedance Phase at 5000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,3.24e+02,-26,2.92e+02,2.26e-07
D-001,D-001,Port D,1,1.34e+06,140,-1.03e+06,-3.67e-11
D-002,D-002,Port D,1,1.38e+06,143,-1.11e+06,-3.88e-11
D-003,D-003,Port D,1,1.22e+06,132,-8.15e+05,-3.50e-11
D-004,pt10,Port D,1,5.15e+03,-87,2.61e+02,6.19e-09
D-005,pt05,Port D,1,6.63e+02,-82,8.92e+01,4.84e-08
D-006,ir10,Port D,1,6.04e+03,-83,7.70e+02,5.31e-09
D-007,ir05,Port D,1,5.78e+03,-75,1.47e+03,5.70e-09
D-008,pt01,Port D,1,2.33e+03,-76,5.53e+02,1.40e-08
D-009,pt02,Port D,1,6.51e+02,-71,2.07e+02,5.16e-08
D-010,pt03,Port D,1,1.13e+05,-70,3.80e+04,2.99e-10
D-011,pt04,Port D,1,6.14e+02,-58,3.21e+02,6.08e-08
D-012,pt06,Port D,1,5.24e+03,-61,2.52e+03,6.93e-09
D-013,pt07,Port D,1,5.04e+03,-57,2.76e+03,7.55e-09
D-014,pt08,Port D,1,5.03e+03,-55,2.88e+03,7.72e-09
D-015,pt09,Port D,1,5.39e+04,-50,3.47e+04,7.72e-10
D-016,g2x2l-2,Port D,1,1.69e+03,-137,-1.23e+03,2.76e-08
D-017,g2x2l-1,Port D,1,6.72e+03,-145,-5.51e+03,8.25e-09
D-018,g2x2s-2,Port D,1,3.37e+03,-128,-2.08e+03,1.20e-08
D-019,g2x2s-1,Port D,1,7.28e+03,-112,-2.67e+03,4.70e-09
D-020,g3x3s-2,Port D,1,4.11e+03,-127,-2.45e+03,9.64e-09
D-021,g3x3s-1,Port D,1,9.46e+02,-128,-5.76e+02,4.24e-08
D-022,g1x1-2,Port D,1,2.57e+03,-113,-9.85e+02,1.34e-08
D-023,g1x1-1,Port D,1,2.60e+04,-76,6.16e+03,1.26e-09
D-024,ir01,Port D,1,2.20e+04,-69,7.88e+03,1.55e-09
D-025,ir02,Port D,1,9.76e+03,-61,4.77e+03,3.74e-09
D-026,ir03,Port D,1,5.07e+03,-63,2.31e+03,7.05e-09
D-027,ir04,Port D,1,1.51e+04,-55,8.62e+03,2.57e-09
D-028,ir06,Port D,1,1.01e+06,-114,-4.10e+05,3.44e-11
D-029,ir07,Port D,1,5.86e+03,-56,3.30e+03,6.57e-09
D-030,ir08,Port D,1,1.74e+05,-58,9.20e+04,2.16e-10
D-031,ir09,Port D,1,3.12e+05,-79,6.19e+04,1.04e-10
