Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 5000 Hz (ohms),Impedance Phase at 5000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,3.77e+02,-20,3.55e+02,2.52e-07
D-001,D-001,Port D,1,1.27e+06,136,-9.18e+05,-3.65e-11
D-002,D-002,Port D,1,1.35e+06,142,-1.07e+06,-3.86e-11
D-003,D-003,Port D,1,1.26e+06,134,-8.78e+05,-3.52e-11
D-004,pt10,Port D,1,5.03e+03,-87,2.42e+02,6.33e-09
D-005,pt05,Port D,1,7.31e+02,-92,-3.15e+01,4.36e-08
D-006,ir10,Port D,1,6.18e+03,-84,6.85e+02,5.18e-09
D-007,ir05,Port D,1,5.79e+03,-76,1.44e+03,5.67e-09
D-008,pt01,Port D,1,2.32e+03,-77,5.20e+02,1.41e-08
D-009,pt02,Port D,1,6.13e+02,-72,1.88e+02,5.46e-08
D-010,pt03,Port D,1,1.15e+05,-70,3.86e+04,2.95e-10
D-011,pt04,Port D,1,5.70e+02,-60,2.88e+02,6.47e-08
D-012,pt06,Port D,1,5.02e+03,-61,2.43e+03,7.25e-09
D-013,pt07,Port D,1,4.93e+03,-57,2.69e+03,7.72e-09
D-014,pt08,Port D,1,4.84e+03,-54,2.81e+03,8.08e-09
D-015,pt09,Port D,1,5.44e+04,-50,3.49e+04,7.63e-10
D-016,g2x2l-2,Port D,1,1.62e+03,-137,-1.18e+03,2.87e-08
D-017,g2x2l-1,Port D,1,6.37e+03,-144,-5.16e+03,8.50e-09
D-018,g2x2s-2,Port D,1,3.21e+03,-127,-1.94e+03,1.25e-08
D-019,g2x2s-1,Port D,1,5.43e+03,-121,-2.80e+03,6.83e-09
D-020,g3x3s-2,Port D,1,4.14e+03,-127,-2.47e+03,9.58e-09
D-021,g3x3s-1,Port D,1,9.40e+02,-129,-5.94e+02,4.37e-08
D-022,g1x1-2,Port D,1,2.19e+03,-110,-7.60e+02,1.55e-08
D-023,g1x1-1,Port D,1,2.95e+03,-120,-1.48e+03,1.25e-08
D-024,ir01,Port D,1,2.20e+04,-70,7.52e+03,1.54e-09
D-025,ir02,Port D,1,8.30e+03,-70,2.78e+03,4.07e-09
D-026,ir03,Port D,1,5.29e+03,-65,2.25e+03,6.66e-09
D-027,ir04,Port D,1,1.59e+04,-57,8.75e+03,2.39e-09
D-028,ir06,Port D,1,1.01e+06,-116,-4.36e+05,3.49e-11
D-029,ir07,Port D,1,5.93e+03,-57,3.27e+03,6.43e-09
D-030,ir08,Port D,1,1.80e+05,-59,9.28e+04,2.06e-10
D-031,ir09,Port D,1,3.18e+05,-79,6.19e+04,1.02e-10
