Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 46.3679 Hz (ohms),Impedance Phase at 46.3679 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,9.35e+05,94,-6.12e+04,-3.68e-09
D-001,D-001,Port D,1,4.12e+08,-55,2.36e+08,1.02e-11
D-002,D-002,Port D,1,3.06e+08,-30,2.64e+08,2.21e-11
D-003,D-003,Port D,1,6.37e+08,-40,4.89e+08,8.41e-12
D-004,pt10,Port D,1,8.00e+04,-80,1.42e+04,4.36e-08
D-005,pt05,Port D,1,5.96e+04,-83,7.21e+03,5.80e-08
D-006,ir10,Port D,1,7.46e+04,-73,2.13e+04,4.80e-08
D-007,ir05,Port D,1,7.71e+04,-79,1.43e+04,4.53e-08
D-008,pt01,Port D,1,5.64e+04,-80,1.03e+04,6.19e-08
D-009,pt02,Port D,1,6.02e+04,-83,7.76e+03,5.75e-08
D-010,pt03,Port D,1,1.74e+05,-8,1.72e+05,1.39e-07
D-011,pt04,Port D,1,5.54e+04,-87,2.60e+03,6.20e-08
D-012,pt06,Port D,1,6.44e+04,-79,1.27e+04,5.43e-08
D-013,pt07,Port D,1,7.60e+04,-76,1.87e+04,4.66e-08
D-014,pt08,Port D,1,5.97e+04,-74,1.65e+04,5.99e-08
D-015,pt09,Port D,1,1.02e+05,-11,9.98e+04,1.74e-07
D-016,g2x2l-2,Port D,1,8.68e+04,-90,1.09e+02,3.96e-08
D-017,g2x2l-1,Port D,1,8.24e+04,-31,7.05e+04,8.05e-08
D-018,g2x2s-2,Port D,1,3.76e+04,-33,3.15e+04,1.67e-07
D-019,g2x2s-1,Port D,1,5.27e+04,-32,4.49e+04,1.24e-07
D-020,g3x3s-2,Port D,1,1.17e+05,-52,7.13e+04,3.70e-08
D-021,g3x3s-1,Port D,1,6.11e+04,-73,1.77e+04,5.87e-08
D-022,g1x1-2,Port D,1,5.37e+04,-69,1.91e+04,6.83e-08
D-023,g1x1-1,Port D,1,7.72e+04,-24,7.05e+04,1.09e-07
D-024,ir01,Port D,1,5.50e+04,-27,4.92e+04,1.40e-07
D-025,ir02,Port D,1,7.02e+04,-80,1.19e+04,4.96e-08
D-026,ir03,Port D,1,6.33e+04,-87,3.68e+03,5.43e-08
D-027,ir04,Port D,1,6.97e+04,-76,1.73e+04,5.08e-08
D-028,ir06,Port D,1,2.56e+06,-4,2.55e+06,2.07e-08
D-029,ir07,Port D,1,6.58e+04,-72,2.04e+04,5.49e-08
D-030,ir08,Port D,1,3.39e+05,-16,3.26e+05,3.67e-08
D-031,ir09,Port D,1,1.17e+06,-11,1.15e+06,1.51e-08
