Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,462.0,-42,67.36,206.34283744635238,1.7272
a-025,IR02,447.0,-50,67.36,581.4560609081083,0.8103
a-026,IR03,375.0,-23,67.36,344.4973144529136,1.1716
a-027,IR04,641.0,-47,67.36,242.88330516109625,1.2028
a-011,IR05,594.0,-47,67.36,148.93467900249752,1.4268
a-023,IR06,702.0,-37,67.36,116.96324429611946,1.377
a-022,IR07,785.0,-39,67.36,0.0,0.594
a-021,IR08,817.0,-40,67.36,181.97823191736072,0.8375
a-020,IR09,1370.0,-41,67.36,125.63721001221124,1.008
a-004,IR10,1570.0,-44,67.36,76.07636943293309,1.2387
a-028,PT01,57400.0,-37,67.36,2.431908173050109,3.2472
a-029,PT02,423.0,-63,67.36,25.625723890504375,2.1784
a-030,PT03,508.0,-33,67.36,67.2171642134041,2.0868
a-031,PT04,602.0,-59,67.36,35.61385728763815,2.3458
a-015,PT05,940.0,-47,67.36,35.427077839552084,2.0832
a-019,PT06,404.0,-78,67.36,37.69236618450285,2.6302
a-018,PT07,356.0,-69,67.36,38.827112041397044,2.1168
a-017,PT08,745.0,-68,67.36,63.744874489687106,1.7199
a-016,PT09,585.0,-62,67.36,87.5807764109285,1.607
a-000,PT10,625.0,-65,67.36,25.176870896207227,2.8304
