Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 46.3679 Hz (ohms),Impedance Phase at 46.3679 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,9.08e+05,94,-5.72e+04,-3.79e-09
D-001,D-001,Port D,1,4.32e+08,-51,2.73e+08,1.02e-11
D-002,D-002,Port D,1,3.42e+08,-34,2.82e+08,1.77e-11
D-003,D-003,Port D,1,5.80e+08,-39,4.49e+08,9.34e-12
D-004,pt10,Port D,1,7.87e+04,-77,1.81e+04,4.48e-08
D-005,pt05,Port D,1,6.44e+04,-83,7.60e+03,5.36e-08
D-006,ir10,Port D,1,6.90e+04,-68,2.53e+04,5.35e-08
D-007,ir05,Port D,1,7.30e+04,-85,6.64e+03,4.72e-08
D-008,pt01,Port D,1,6.47e+04,-82,9.03e+03,5.36e-08
D-009,pt02,Port D,1,6.49e+04,-81,1.02e+04,5.35e-08
D-010,pt03,Port D,1,1.74e+05,-8,1.72e+05,1.35e-07
D-011,pt04,Port D,1,6.55e+04,-85,6.22e+03,5.27e-08
D-012,pt06,Port D,1,6.34e+04,-76,1.49e+04,5.57e-08
D-013,pt07,Port D,1,7.41e+04,-75,1.86e+04,4.79e-08
D-014,pt08,Port D,1,6.04e+04,-73,1.81e+04,5.95e-08
D-015,pt09,Port D,1,1.01e+05,-10,9.96e+04,1.94e-07
D-016,g2x2l-2,Port D,1,7.96e+04,-89,1.66e+03,4.31e-08
D-017,g2x2l-1,Port D,1,8.33e+04,-28,7.33e+04,8.65e-08
D-018,g2x2s-2,Port D,1,8.12e+04,-51,5.13e+04,5.46e-08
D-019,g2x2s-1,Port D,1,5.41e+04,-31,4.62e+04,1.22e-07
D-020,g3x3s-2,Port D,1,5.90e+04,-38,4.65e+04,9.45e-08
D-021,g3x3s-1,Port D,1,6.98e+04,-76,1.65e+04,5.06e-08
D-022,g1x1-2,Port D,1,7.55e+04,-63,3.49e+04,5.12e-08
D-023,g1x1-1,Port D,1,8.92e+04,-58,4.66e+04,4.52e-08
D-024,ir01,Port D,1,5.60e+04,-27,4.98e+04,1.35e-07
D-025,ir02,Port D,1,6.15e+04,-83,7.84e+03,5.62e-08
D-026,ir03,Port D,1,6.37e+04,-88,1.97e+03,5.39e-08
D-027,ir04,Port D,1,7.21e+04,-69,2.53e+04,5.08e-08
D-028,ir06,Port D,1,2.57e+06,-2,2.57e+06,4.31e-08
D-029,ir07,Port D,1,6.42e+04,-75,1.70e+04,5.55e-08
D-030,ir08,Port D,1,3.84e+05,-18,3.66e+05,2.96e-08
D-031,ir09,Port D,1,1.20e+06,-10,1.18e+06,1.63e-08
