Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 30 Hz (ohms),Impedance Phase at 30 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,1.17e+06,94,-7.73e+04,-4.55e-09
D-001,D-001,Port D,1,2.66e+08,-32,2.26e+08,3.80e-11
D-002,D-002,Port D,1,2.62e+08,-24,2.38e+08,4.92e-11
D-003,D-003,Port D,1,5.90e+08,-31,5.07e+08,1.77e-11
D-004,pt10,Port D,1,7.91e+04,-70,2.68e+04,7.13e-08
D-005,pt05,Port D,1,9.81e+04,-87,4.30e+03,5.41e-08
D-006,ir10,Port D,1,8.99e+04,-66,3.66e+04,6.46e-08
D-007,ir05,Port D,1,1.12e+05,-80,2.02e+04,4.84e-08
D-008,pt01,Port D,1,1.01e+05,-80,1.75e+04,5.35e-08
D-009,pt02,Port D,1,1.02e+05,-85,8.69e+03,5.22e-08
D-010,pt03,Port D,1,1.77e+05,-7,1.76e+05,2.30e-07
D-011,pt04,Port D,1,9.88e+04,-83,1.12e+04,5.41e-08
D-012,pt06,Port D,1,1.03e+05,-78,2.09e+04,5.24e-08
D-013,pt07,Port D,1,9.36e+04,-74,2.50e+04,5.89e-08
D-014,pt08,Port D,1,1.08e+05,-83,1.35e+04,4.97e-08
D-015,pt09,Port D,1,1.06e+05,-12,1.04e+05,2.47e-07
D-016,g2x2l-2,Port D,1,1.26e+05,-79,2.37e+04,4.28e-08
D-017,g2x2l-1,Port D,1,1.05e+05,-30,9.09e+04,1.01e-07
D-018,g2x2s-2,Port D,1,1.23e+05,-70,4.27e+04,4.59e-08
D-019,g2x2s-1,Port D,1,1.45e+05,-61,6.93e+04,4.17e-08
D-020,g3x3s-2,Port D,1,1.56e+05,-66,6.31e+04,3.73e-08
D-021,g3x3s-1,Port D,1,1.05e+05,-81,1.60e+04,5.12e-08
D-022,g1x1-2,Port D,1,1.07e+05,-76,2.63e+04,5.14e-08
D-023,g1x1-1,Port D,1,9.05e+04,-25,8.19e+04,1.38e-07
D-024,ir01,Port D,1,1.32e+05,-62,6.18e+04,4.54e-08
D-025,ir02,Port D,1,1.04e+05,-75,2.62e+04,5.25e-08
D-026,ir03,Port D,1,1.02e+05,-80,1.82e+04,5.28e-08
D-027,ir04,Port D,1,1.12e+05,-73,3.29e+04,4.94e-08
D-028,ir06,Port D,1,2.66e+06,-5,2.64e+06,2.13e-08
D-029,ir07,Port D,1,1.02e+05,-77,2.26e+04,5.31e-08
D-030,ir08,Port D,1,3.65e+05,-13,3.56e+05,6.63e-08
D-031,ir09,Port D,1,1.26e+06,-10,1.24e+06,2.38e-08
