Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,7590.0,-26,66.284,19.287517081821772,1.7272
d-025,IR02,23900.0,-23,66.284,43.18736389647434,0.8103
d-026,IR03,377.0,-24,66.284,351.0688094866902,1.1716
d-027,IR04,3020.0,-28,66.284,46.68669033190905,1.2028
d-007,IR05,1260.0,-30,66.284,131.03186110656048,1.4268
d-028,IR06,134000.0,-24,66.284,142.45014244968357,1.377
d-029,IR07,12000.0,-24,66.284,0.0,0.594
d-030,IR08,27100.0,-22,66.284,26.13219616203735,0.8375
d-031,IR09,7710.0,-22,66.284,64.3730041326223,1.008
d-006,IR10,11400.0,-30,66.284,22.582774233267806,1.2387
d-008,PT01,3500.0,-40,66.284,0.0,3.2472
d-009,PT02,674.0,-32,66.284,112.60243380369633,2.1784
d-010,PT03,52100.0,-25,66.284,4.250816799447249,2.0868
d-011,PT04,786.0,-37,66.284,80.23013306924015,2.3458
d-005,PT05,1030.0,-44,66.284,77.18224198905826,2.0832
d-012,PT06,958.0,-64,66.284,42.53316822479146,2.6302
d-013,PT07,837.0,-59,66.284,65.15405307422543,2.1168
d-014,PT08,898.0,-55,66.284,59.16944419182932,1.7199
d-015,PT09,743.0,-56,66.284,75.99463883969489,1.607
d-004,PT10,1180.0,-70,66.284,44.75748968109467,2.8304
d-023,G1X1-1,7880.0,-48,66.284,3.7596153846149485,4.0
d-022,G1X1-2,17600.0,-64,66.284,0.6794511668103714,4.0
d-021,G3X3S-1,15800.0,-56,66.284,1.056980660710161,3.9204
d-020,G3X3S-2,11000.0,-61,66.284,2.17381698376619,3.9204
d-019,G2X2S-1,11900.0,-46,66.284,2.4400877827566396,3.9601
d-018,G2X2S-2,10700.0,-57,66.284,1.6012136084277864,3.9601
d-017,G2X2L-1,17100.0,-60,66.284,1.4199300699298045,4.0
d-016,G2X2L-2,11400.0,-51,66.284,2.0446153846152826,4.0
