Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 5000 Hz (ohms),Impedance Phase at 5000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,2.00e+02,-18,1.90e+02,5.13e-07
D-001,D-001,Port D,1,1.34e+06,138,-1.01e+06,-3.57e-11
D-002,D-002,Port D,1,1.37e+06,143,-1.10e+06,-3.86e-11
D-003,D-003,Port D,1,1.26e+06,133,-8.53e+05,-3.46e-11
D-004,D-004,Port D,1,5.22e+03,-88,2.05e+02,6.10e-09
D-005,D-005,Port D,1,7.13e+02,-87,4.00e+01,4.47e-08
D-006,D-006,Port D,1,6.16e+03,-83,7.32e+02,5.21e-09
D-007,D-007,Port D,1,5.53e+03,-76,1.33e+03,5.92e-09
D-008,D-008,Port D,1,2.33e+03,-76,5.49e+02,1.40e-08
D-009,D-009,Port D,1,6.66e+02,-72,2.04e+02,5.02e-08
D-010,D-010,Port D,1,1.26e+05,-71,4.04e+04,2.67e-10
D-011,D-011,Port D,1,6.55e+02,-60,3.28e+02,5.61e-08
D-012,D-012,Port D,1,5.22e+03,-62,2.49e+03,6.93e-09
D-013,D-013,Port D,1,5.11e+03,-57,2.75e+03,7.40e-09
D-014,D-014,Port D,1,5.07e+03,-56,2.87e+03,7.62e-09
D-015,D-015,Port D,1,4.48e+04,-48,3.00e+04,9.55e-10
D-016,D-016,Port D,1,1.74e+03,-138,-1.29e+03,2.72e-08
D-017,D-017,Port D,1,6.98e+03,-147,-5.84e+03,8.33e-09
D-018,D-018,Port D,1,3.63e+03,-130,-2.35e+03,1.15e-08
D-019,D-019,Port D,1,6.90e+03,-112,-2.62e+03,4.99e-09
D-020,D-020,Port D,1,4.05e+03,-127,-2.43e+03,9.85e-09
D-021,D-021,Port D,1,1.01e+03,-128,-6.30e+02,4.00e-08
D-022,D-022,Port D,1,5.41e+03,-108,-1.67e+03,6.19e-09
D-023,D-023,Port D,1,3.04e+03,-121,-1.57e+03,1.22e-08
D-024,D-024,Port D,1,2.19e+04,-69,7.73e+03,1.55e-09
D-025,D-025,Port D,1,9.83e+03,-62,4.64e+03,3.67e-09
D-026,D-026,Port D,1,4.91e+03,-64,2.14e+03,7.20e-09
D-027,D-027,Port D,1,1.39e+04,-56,7.81e+03,2.77e-09
D-028,D-028,Port D,1,9.52e+05,-113,-3.70e+05,3.63e-11
D-029,D-029,Port D,1,5.87e+03,-56,3.32e+03,6.56e-09
D-030,D-030,Port D,1,1.75e+05,-59,9.07e+04,2.12e-10
D-031,D-031,Port D,1,3.19e+05,-79,6.25e+04,1.02e-10
