Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 2142.86 Hz (ohms),Impedance Phase at 2142.86 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,2.99e+02,53,1.78e+02,-3.09e-07
D-001,D-001,Port D,1,7.03e+06,-178,-7.02e+06,3.73e-10
D-002,D-002,Port D,1,8.51e+06,-166,-8.25e+06,3.55e-11
D-003,D-003,Port D,1,8.33e+06,173,-8.27e+06,-7.26e-11
D-004,pt10,Port D,1,6.61e+03,-54,3.86e+03,1.38e-08
D-005,pt05,Port D,1,8.81e+02,-56,4.91e+02,1.02e-07
D-006,ir10,Port D,1,7.85e+03,-54,4.59e+03,1.17e-08
D-007,ir05,Port D,1,7.16e+03,-46,4.97e+03,1.44e-08
D-008,pt01,Port D,1,3.21e+03,-55,1.85e+03,2.83e-08
D-009,pt02,Port D,1,8.79e+02,-54,5.16e+02,1.04e-07
D-010,pt03,Port D,1,1.18e+05,-44,8.49e+04,9.00e-10
D-011,pt04,Port D,1,7.56e+02,-41,5.69e+02,1.49e-07
D-012,pt06,Port D,1,6.63e+03,-40,5.05e+03,1.73e-08
D-013,pt07,Port D,1,6.58e+03,-41,4.97e+03,1.72e-08
D-014,pt08,Port D,1,6.49e+03,-39,5.04e+03,1.82e-08
D-015,pt09,Port D,1,6.64e+04,-34,5.47e+04,1.98e-09
D-016,g2x2l-2,Port D,1,3.37e+03,-96,-3.71e+02,2.22e-08
D-017,g2x2l-1,Port D,1,1.37e+04,-101,-2.65e+03,5.53e-09
D-018,g2x2s-2,Port D,1,6.16e+03,-91,-9.36e+01,1.21e-08
D-019,g2x2s-1,Port D,1,1.16e+04,-77,2.61e+03,6.57e-09
D-020,g3x3s-2,Port D,1,7.73e+03,-92,-2.87e+02,9.62e-09
D-021,g3x3s-1,Port D,1,1.90e+03,-95,-1.57e+02,3.92e-08
D-022,g1x1-2,Port D,1,4.63e+03,-83,5.25e+02,1.61e-08
D-023,g1x1-1,Port D,1,3.14e+04,-55,1.79e+04,2.88e-09
D-024,ir01,Port D,1,2.50e+04,-47,1.70e+04,4.05e-09
D-025,ir02,Port D,1,1.08e+04,-41,8.14e+03,1.06e-08
D-026,ir03,Port D,1,6.24e+03,-40,4.76e+03,1.84e-08
D-027,ir04,Port D,1,1.69e+04,-39,1.32e+04,7.03e-09
D-028,ir06,Port D,1,1.61e+06,-70,5.56e+05,4.91e-11
D-029,ir07,Port D,1,7.63e+03,-41,5.79e+03,1.49e-08
D-030,ir08,Port D,1,1.88e+05,-41,1.42e+05,6.06e-10
D-031,ir09,Port D,1,4.81e+05,-60,2.38e+05,1.78e-10
