Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 461.538 Hz (ohms),Impedance Phase at 461.538 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,8.70e+03,111,-3.16e+03,-4.26e-08
D-001,D-001,Port D,1,8.25e+07,-113,-3.26e+07,4.55e-12
D-002,D-002,Port D,1,5.19e+07,-57,2.82e+07,7.90e-12
D-003,D-003,Port D,1,1.11e+08,-116,-4.87e+07,3.47e-12
D-004,pt10,Port D,1,8.97e+03,-26,8.08e+03,8.86e-08
D-005,pt05,Port D,1,1.41e+03,-29,1.23e+03,5.04e-07
D-006,ir10,Port D,1,1.14e+04,-29,1.00e+04,6.28e-08
D-007,ir05,Port D,1,8.89e+03,-19,8.39e+03,1.18e-07
D-008,pt01,Port D,1,5.23e+03,-30,4.55e+03,1.33e-07
D-009,pt02,Port D,1,1.57e+03,-44,1.13e+03,3.16e-07
D-010,pt03,Port D,1,1.41e+05,-17,1.35e+05,8.39e-09
D-011,pt04,Port D,1,2.19e+03,-37,1.76e+03,2.64e-07
D-012,pt06,Port D,1,8.49e+03,-20,7.99e+03,1.20e-07
D-013,pt07,Port D,1,8.89e+03,-21,8.28e+03,1.06e-07
D-014,pt08,Port D,1,8.33e+03,-19,7.87e+03,1.27e-07
D-015,pt09,Port D,1,7.90e+04,-16,7.59e+04,1.58e-08
D-016,g2x2l-2,Port D,1,7.88e+03,-49,5.18e+03,5.81e-08
D-017,g2x2l-1,Port D,1,3.57e+04,-56,2.01e+04,1.17e-08
D-018,g2x2s-2,Port D,1,1.49e+04,-53,9.05e+03,2.90e-08
D-019,g2x2s-1,Port D,1,2.32e+04,-46,1.62e+04,2.08e-08
D-020,g3x3s-2,Port D,1,1.94e+04,-56,1.08e+04,2.14e-08
D-021,g3x3s-1,Port D,1,5.13e+03,-50,3.28e+03,8.73e-08
D-022,g1x1-2,Port D,1,1.09e+04,-46,7.56e+03,4.41e-08
D-023,g1x1-1,Port D,1,4.58e+04,-28,4.05e+04,1.61e-08
D-024,ir01,Port D,1,3.21e+04,-22,2.97e+04,2.83e-08
D-025,ir02,Port D,1,1.27e+04,-16,1.22e+04,9.92e-08
D-026,ir03,Port D,1,7.63e+03,-16,7.34e+03,1.66e-07
D-027,ir04,Port D,1,2.02e+04,-15,1.95e+04,6.45e-08
D-028,ir06,Port D,1,1.95e+06,-19,1.84e+06,5.45e-10
D-029,ir07,Port D,1,1.03e+04,-21,9.57e+03,9.39e-08
D-030,ir08,Port D,1,2.35e+05,-21,2.20e+05,4.16e-09
D-031,ir09,Port D,1,6.76e+05,-21,6.29e+05,1.40e-09
