Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 30 Hz (ohms),Impedance Phase at 30 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,1.07e+06,94,-7.69e+04,-4.96e-09
D-001,D-001,Port D,1,2.80e+08,-30,2.43e+08,3.81e-11
D-002,D-002,Port D,1,3.36e+08,-29,2.93e+08,3.25e-11
D-003,D-003,Port D,1,4.50e+08,-23,4.16e+08,3.07e-11
D-004,pt10,Port D,1,1.11e+05,-6,1.11e+05,4.59e-07
D-005,pt05,Port D,1,1.05e+05,-80,1.84e+04,5.12e-08
D-006,ir10,Port D,1,1.07e+05,-61,5.11e+04,5.66e-08
D-007,ir05,Port D,1,8.25e+04,-64,3.58e+04,7.14e-08
D-008,pt01,Port D,1,1.15e+05,-80,1.94e+04,4.70e-08
D-009,pt02,Port D,1,1.00e+05,-84,1.09e+04,5.32e-08
D-010,pt03,Port D,1,1.33e+06,2,1.33e+06,-9.28e-08
D-011,pt04,Port D,1,8.24e+05,-10,8.12e+05,3.79e-08
D-012,pt06,Port D,1,9.94e+04,-9,9.81e+04,3.38e-07
D-013,pt07,Port D,1,1.08e+05,-8,1.07e+05,3.50e-07
D-014,pt08,Port D,1,1.07e+05,-9,1.06e+05,3.21e-07
D-015,pt09,Port D,1,4.71e+06,-6,4.69e+06,1.16e-08
D-016,g2x2l-2,Port D,1,7.46e+04,-79,1.47e+04,7.25e-08
D-017,g2x2l-1,Port D,1,9.75e+04,-84,9.36e+03,5.46e-08
D-018,g2x2s-2,Port D,1,8.20e+04,-80,1.39e+04,6.56e-08
D-019,g2x2s-1,Port D,1,7.73e+04,-80,1.31e+04,6.96e-08
D-020,g3x3s-2,Port D,1,3.26e+03,-22,3.03e+03,4.37e-06
D-021,g3x3s-1,Port D,1,3.64e+03,-15,3.52e+03,5.75e-06
D-022,g1x1-2,Port D,1,7.09e+04,-69,2.51e+04,8.00e-08
D-023,g1x1-1,Port D,1,4.61e+04,-17,4.42e+04,4.01e-07
D-024,ir01,Port D,1,3.36e+05,-11,3.29e+05,8.08e-08
D-025,ir02,Port D,1,5.52e+05,-14,5.37e+05,4.06e-08
D-026,ir03,Port D,1,1.26e+05,-15,1.22e+05,1.62e-07
D-027,ir04,Port D,1,4.88e+05,65,2.06e+05,-1.20e-08
D-028,ir06,Port D,1,4.56e+05,-6,4.53e+05,1.15e-07
D-029,ir07,Port D,1,1.09e+05,-61,5.26e+04,5.57e-08
D-030,ir08,Port D,1,7.98e+05,-1,7.98e+05,3.53e-07
D-031,ir09,Port D,1,9.94e+05,-11,9.75e+05,2.77e-08
