Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 461.538 Hz (ohms),Impedance Phase at 461.538 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,2.04e+03,127,-1.23e+03,-2.12e-07
D-001,D-001,Port D,1,6.53e+07,-111,-2.32e+07,5.65e-12
D-002,D-002,Port D,1,4.99e+07,-55,2.87e+07,8.44e-12
D-003,D-003,Port D,1,1.23e+08,-116,-5.28e+07,3.12e-12
D-004,D-004,Port D,1,9.33e+03,-27,8.35e+03,8.27e-08
D-005,D-005,Port D,1,1.73e+03,-36,1.41e+03,3.42e-07
D-006,D-006,Port D,1,1.16e+04,-28,1.02e+04,6.24e-08
D-007,D-007,Port D,1,8.80e+03,-20,8.29e+03,1.17e-07
D-008,D-008,Port D,1,5.08e+03,-31,4.33e+03,1.30e-07
D-009,D-009,Port D,1,1.46e+03,-40,1.13e+03,3.70e-07
D-010,D-010,Port D,1,1.55e+05,-17,1.48e+05,7.57e-09
D-011,D-011,Port D,1,2.65e+03,-60,1.31e+03,1.50e-07
D-012,D-012,Port D,1,8.75e+03,-20,8.20e+03,1.13e-07
D-013,D-013,Port D,1,9.40e+03,-22,8.72e+03,9.86e-08
D-014,D-014,Port D,1,8.70e+03,-21,8.10e+03,1.09e-07
D-015,D-015,Port D,1,6.74e+04,-19,6.39e+04,1.61e-08
D-016,D-016,Port D,1,8.67e+03,-52,5.36e+03,5.06e-08
D-017,D-017,Port D,1,3.82e+04,-56,2.16e+04,1.10e-08
D-018,D-018,Port D,1,1.70e+04,-53,1.03e+04,2.54e-08
D-019,D-019,Port D,1,2.30e+04,-46,1.61e+04,2.10e-08
D-020,D-020,Port D,1,1.96e+04,-56,1.09e+04,2.11e-08
D-021,D-021,Port D,1,5.63e+03,-53,3.40e+03,7.68e-08
D-022,D-022,Port D,1,2.04e+04,-43,1.49e+04,2.46e-08
D-023,D-023,Port D,1,1.36e+04,-48,9.07e+03,3.40e-08
D-024,D-024,Port D,1,3.21e+04,-23,2.96e+04,2.78e-08
D-025,D-025,Port D,1,1.34e+04,-17,1.28e+04,8.94e-08
D-026,D-026,Port D,1,7.80e+03,-19,7.37e+03,1.35e-07
D-027,D-027,Port D,1,1.91e+04,-16,1.84e+04,6.73e-08
D-028,D-028,Port D,1,1.87e+06,-19,1.77e+06,5.68e-10
D-029,D-029,Port D,1,1.04e+04,-21,9.76e+03,9.29e-08
D-030,D-030,Port D,1,2.42e+05,-21,2.26e+05,4.02e-09
D-031,D-031,Port D,1,6.91e+05,-21,6.44e+05,1.38e-09
