Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,5060.0,-27,66.1202,33.95824493554993,1.7272
d-025,IR02,11900.0,-25,66.1202,33.874219079698086,0.8103
d-026,IR03,1040.0,-31,66.1202,412.8148225963132,1.1716
d-027,IR04,2380.0,-26,66.1202,87.61999090077255,1.2028
d-007,IR05,2050.0,-33,66.1202,94.66079097318153,1.4268
d-028,IR06,21100.0,-26,66.1202,13.786744971739427,1.377
d-029,IR07,154000.0,156,66.1202,0.0,0.594
d-030,IR08,75000.0,70,66.1202,39.174338099703796,0.8375
d-031,IR09,133000.0,114,66.1202,165.5611656462774,1.008
d-006,IR10,156000.0,8,66.1202,22.831513158011386,1.2387
d-008,PT01,5720.0,-34,66.1202,0.0,3.2472
d-009,PT02,3040.0,-29,66.1202,35.396038729910316,2.1784
d-010,PT03,44400.0,-26,66.1202,5.52410882758008,2.0868
d-011,PT04,3170.0,-28,66.1202,30.27677372919605,2.3458
d-005,PT05,3370.0,-33,66.1202,28.83381019901797,2.0832
d-012,PT06,942.0,-66,66.1202,52.65759257850126,2.6302
d-013,PT07,1120.0,-62,66.1202,45.25766919833892,2.1168
d-014,PT08,1140.0,-56,66.1202,73.05111240710623,1.7199
d-015,PT09,956.0,-49,66.1202,83.51950037589079,1.607
d-004,PT10,932.0,-69,66.1202,42.900736413190224,2.8304
d-023,G1X1-1,9740.0,-60,66.1202,2.2279788838613026,4.0
d-022,G1X1-2,6000.0,-51,66.1202,4.094091751622057,4.0
d-021,G3X3S-1,6650.0,-58,66.1202,2.633823340894128,3.9204
d-020,G3X3S-2,3160.0,-50,66.1202,5.711327481661681,3.9204
d-019,G2X2S-1,3060.0,-45,66.1202,5.86717895624275,3.9601
d-018,G2X2S-2,5890.0,-42,66.1202,4.81728316884056,3.9601
d-017,G2X2L-1,6170.0,-48,66.1202,5.63388009049719,4.0
d-016,G2X2L-2,2700.0,-49,66.1202,7.213623725672247,4.0
