Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,976.0,-62,66.3773,232.50088750632406,1.7272
a-025,IR02,388.0,52,66.3773,596.8824461975269,0.8103
a-026,IR03,409.0,59,66.3773,278.77721459155646,1.1716
a-027,IR04,1250.0,-38,66.3773,296.67766162514033,1.2028
a-011,IR05,1500.0,-42,66.3773,228.10592827414396,1.4268
a-023,IR06,980.0,-43,66.3773,255.59128176549407,1.377
a-022,IR07,1670.0,-29,66.3773,0.0,0.594
a-021,IR08,1390.0,-30,66.3773,214.6420647417965,0.8375
a-020,IR09,704.0,-33,66.3773,230.46766451940456,1.008
a-004,IR10,822.0,-36,66.3773,203.93588812094657,1.2387
a-028,PT01,746.0,-40,66.3773,0.0,3.2472
a-029,PT02,552.0,-46,66.3773,26.85335276511962,2.1784
a-030,PT03,1070.0,-41,66.3773,44.35661520768315,2.0868
a-031,PT04,1040.0,-41,66.3773,37.9106357024404,2.3458
a-015,PT05,1240.0,-37,66.3773,41.32982459595565,2.0832
a-019,PT06,1530.0,-49,66.3773,79.06389101736245,2.6302
a-018,PT07,1820.0,-51,66.3773,78.35848014420678,2.1168
a-017,PT08,476.0,29,66.3773,75.6797130423501,1.7199
a-016,PT09,4380.0,-40,66.3773,145.79914795846597,1.607
a-000,PT10,3460.0,-45,66.3773,61.77028525460137,2.8304
