Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 215.827 Hz (ohms),Impedance Phase at 215.827 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,2.93e+04,105,-7.52e+03,-2.60e-08
D-001,D-001,Port D,1,1.39e+08,-88,5.38e+06,5.31e-12
D-002,D-002,Port D,1,7.23e+07,-36,5.86e+07,1.74e-11
D-003,D-003,Port D,1,2.61e+08,-82,3.62e+07,2.85e-12
D-004,D-004,Port D,1,1.12e+04,-23,1.03e+04,1.67e-07
D-005,D-005,Port D,1,6.01e+03,-65,2.57e+03,1.36e-07
D-006,D-006,Port D,1,1.40e+04,-28,1.24e+04,1.12e-07
D-007,D-007,Port D,1,9.92e+03,-18,9.44e+03,2.42e-07
D-008,D-008,Port D,1,6.33e+03,-27,5.63e+03,2.54e-07
D-009,D-009,Port D,1,5.79e+03,-73,1.73e+03,1.34e-07
D-010,D-010,Port D,1,1.68e+05,-12,1.64e+05,2.16e-08
D-011,D-011,Port D,1,5.33e+03,-72,1.61e+03,1.45e-07
D-012,D-012,Port D,1,9.86e+03,-19,9.34e+03,2.32e-07
D-013,D-013,Port D,1,1.08e+04,-20,1.01e+04,2.00e-07
D-014,D-014,Port D,1,1.00e+04,-19,9.47e+03,2.23e-07
D-015,D-015,Port D,1,7.59e+04,-15,7.32e+04,3.70e-08
D-016,D-016,Port D,1,1.20e+04,-42,8.82e+03,9.14e-08
D-017,D-017,Port D,1,5.57e+04,-43,4.04e+04,1.93e-08
D-018,D-018,Port D,1,2.39e+04,-42,1.77e+04,4.58e-08
D-019,D-019,Port D,1,3.19e+04,-38,2.50e+04,3.72e-08
D-020,D-020,Port D,1,2.93e+04,-46,2.02e+04,3.47e-08
D-021,D-021,Port D,1,7.98e+03,-41,6.05e+03,1.42e-07
D-022,D-022,Port D,1,2.73e+04,-34,2.26e+04,4.82e-08
D-023,D-023,Port D,1,1.89e+04,-41,1.43e+04,5.91e-08
D-024,D-024,Port D,1,3.69e+04,-21,3.44e+04,5.58e-08
D-025,D-025,Port D,1,1.47e+04,-15,1.42e+04,1.99e-07
D-026,D-026,Port D,1,8.52e+03,-16,8.19e+03,3.15e-07
D-027,D-027,Port D,1,2.07e+04,-13,2.01e+04,1.55e-07
D-028,D-028,Port D,1,2.00e+06,-5,1.99e+06,3.92e-09
D-029,D-029,Port D,1,1.17e+04,-20,1.11e+04,1.88e-07
D-030,D-030,Port D,1,2.73e+05,-18,2.61e+05,8.97e-09
D-031,D-031,Port D,1,8.26e+05,-11,8.11e+05,4.78e-09
