Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,1.34e+03,102,-2.84e+02,-1.22e-07
D-001,D-001,Port D,1,2.81e+07,-142,-2.20e+07,9.10e-12
D-002,D-002,Port D,1,3.08e+07,-111,-1.09e+07,5.53e-12
D-003,D-003,Port D,1,3.82e+07,-157,-3.51e+07,1.06e-11
D-004,pt10,Port D,1,7.77e+03,-34,6.41e+03,3.63e-08
D-005,pt05,Port D,1,1.12e+03,-39,8.67e+02,2.25e-07
D-006,ir10,Port D,1,9.45e+03,-37,7.58e+03,2.82e-08
D-007,ir05,Port D,1,8.05e+03,-27,7.15e+03,4.30e-08
D-008,pt01,Port D,1,4.07e+03,-39,3.18e+03,6.24e-08
D-009,pt02,Port D,1,1.17e+03,-42,8.63e+02,2.02e-07
D-010,pt03,Port D,1,1.27e+05,-28,1.13e+05,2.67e-09
D-011,pt04,Port D,1,8.79e+02,-30,7.64e+02,3.66e-07
D-012,pt06,Port D,1,7.51e+03,-26,6.78e+03,4.91e-08
D-013,pt07,Port D,1,7.69e+03,-27,6.83e+03,4.51e-08
D-014,pt08,Port D,1,7.47e+03,-26,6.74e+03,4.92e-08
D-015,pt09,Port D,1,7.13e+04,-24,6.51e+04,5.48e-09
D-016,g2x2l-2,Port D,1,5.40e+03,-68,2.05e+03,3.18e-08
D-017,g2x2l-1,Port D,1,2.29e+04,-73,6.51e+03,7.26e-09
D-018,g2x2s-2,Port D,1,9.79e+03,-67,3.81e+03,1.76e-08
D-019,g2x2s-1,Port D,1,1.64e+04,-56,9.18e+03,1.17e-08
D-020,g3x3s-2,Port D,1,1.25e+04,-69,4.39e+03,1.36e-08
D-021,g3x3s-1,Port D,1,3.28e+03,-70,1.13e+03,5.17e-08
D-022,g1x1-2,Port D,1,7.27e+03,-61,3.47e+03,2.49e-08
D-023,g1x1-1,Port D,1,3.83e+04,-36,3.08e+04,7.00e-09
D-024,ir01,Port D,1,2.84e+04,-30,2.47e+04,1.14e-08
D-025,ir02,Port D,1,1.19e+04,-24,1.08e+04,3.32e-08
D-026,ir03,Port D,1,7.00e+03,-24,6.39e+03,5.57e-08
D-027,ir04,Port D,1,1.87e+04,-23,1.72e+04,2.20e-08
D-028,ir06,Port D,1,1.45e+06,-39,1.12e+06,1.73e-10
D-029,ir07,Port D,1,8.97e+03,-27,7.96e+03,3.85e-08
D-030,ir08,Port D,1,2.11e+05,-27,1.89e+05,1.69e-09
D-031,ir09,Port D,1,6.32e+05,-35,5.17e+05,4.38e-10
