Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,8.03e+02,88,3.26e+01,-1.98e-07
D-001,D-001,Port D,1,2.67e+07,-144,-2.17e+07,1.03e-11
D-002,D-002,Port D,1,3.08e+07,-114,-1.24e+07,5.63e-12
D-003,D-003,Port D,1,3.83e+07,-157,-3.52e+07,1.06e-11
D-004,pt10,Port D,1,7.46e+03,-35,6.15e+03,3.76e-08
D-005,pt05,Port D,1,1.56e+03,-45,1.10e+03,1.43e-07
D-006,ir10,Port D,1,9.73e+03,-37,7.79e+03,2.73e-08
D-007,ir05,Port D,1,8.03e+03,-27,7.13e+03,4.31e-08
D-008,pt01,Port D,1,4.09e+03,-39,3.18e+03,6.16e-08
D-009,pt02,Port D,1,1.05e+03,-44,7.63e+02,2.19e-07
D-010,pt03,Port D,1,1.28e+05,-28,1.13e+05,2.62e-09
D-011,pt04,Port D,1,8.40e+02,-33,7.06e+02,3.49e-07
D-012,pt06,Port D,1,7.14e+03,-26,6.43e+03,5.11e-08
D-013,pt07,Port D,1,7.52e+03,-27,6.68e+03,4.63e-08
D-014,pt08,Port D,1,7.15e+03,-26,6.44e+03,5.14e-08
D-015,pt09,Port D,1,7.15e+04,-24,6.55e+04,5.54e-09
D-016,g2x2l-2,Port D,1,5.08e+03,-67,1.98e+03,3.40e-08
D-017,g2x2l-1,Port D,1,2.09e+04,-73,6.09e+03,7.97e-09
D-018,g2x2s-2,Port D,1,8.88e+03,-66,3.55e+03,1.96e-08
D-019,g2x2s-1,Port D,1,1.36e+04,-61,6.54e+03,1.33e-08
D-020,g3x3s-2,Port D,1,1.24e+04,-69,4.44e+03,1.38e-08
D-021,g3x3s-1,Port D,1,3.30e+03,-71,1.08e+03,5.10e-08
D-022,g1x1-2,Port D,1,6.17e+03,-62,2.87e+03,2.92e-08
D-023,g1x1-1,Port D,1,8.94e+03,-63,4.07e+03,2.00e-08
D-024,ir01,Port D,1,2.84e+04,-30,2.47e+04,1.13e-08
D-025,ir02,Port D,1,1.12e+04,-25,1.02e+04,3.39e-08
D-026,ir03,Port D,1,7.34e+03,-25,6.67e+03,5.20e-08
D-027,ir04,Port D,1,1.99e+04,-23,1.83e+04,2.04e-08
D-028,ir06,Port D,1,1.48e+06,-39,1.14e+06,1.70e-10
D-029,ir07,Port D,1,9.08e+03,-27,8.06e+03,3.81e-08
D-030,ir08,Port D,1,2.23e+05,-27,1.99e+05,1.58e-09
D-031,ir09,Port D,1,6.29e+05,-35,5.16e+05,4.42e-10
