Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,891.0,-71,208.20714718350465,1.7272,65.5542
a-025,IR02,728.0,-72,617.4509599167438,0.8103,65.5542
a-026,IR03,1050.0,-49,323.2211483747698,1.1716,65.5542
a-027,IR04,521.0,-20,278.6672725933088,1.2028,65.5542
a-011,IR05,453.0,-32,236.74152328982967,1.4268,65.5542
a-023,IR06,1270.0,-39,65.70873021427823,1.377,65.5542
a-022,IR07,1270.0,-39,0.0,0.594,65.5542
a-021,IR08,31000.0,-25,87.77990389925358,0.8375,65.5542
a-020,IR09,2370.0,-42,76.63757810818112,1.008,65.5542
a-004,IR10,2610.0,-43,51.50075073311703,1.2387,65.5542
a-028,PT01,20300.0,-33,14.515062372421095,3.2472,65.5542
a-029,PT02,1080.0,-66,33.81657226832844,2.1784,65.5542
a-030,PT03,585.0,-39,42.77998966970851,2.0868,65.5542
a-031,PT04,630.0,-41,35.634882638038114,2.3458,65.5542
a-015,PT05,1230.0,-40,20.83352108980214,2.0832,65.5542
a-019,PT06,1150.0,-66,36.2893564976144,2.6302,65.5542
a-018,PT07,516.0,-56,31.186156526942064,2.1168,65.5542
a-017,PT08,940.0,-65,51.076314812587,1.7199,65.5542
a-016,PT09,869.0,-52,63.56918629877632,1.607,65.5542
a-000,PT10,943.0,-53,26.660366825342635,2.8304,65.5542
