Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
A-000,pt10,Port A,1,6.18e+02,-65,2.64e+02,2.85e-07
A-001,A-001,Port A,0,2.89e+07,-142,-2.28e+07,8.94e-12
A-002,A-002,Port A,0,2.93e+07,-135,-2.07e+07,7.68e-12
A-003,A-003,Port A,0,2.70e+07,-112,-1.00e+07,6.35e-12
A-004,ir10,Port A,1,1.55e+03,-44,1.12e+03,1.48e-07
A-005,A-005,Port A,0,5.88e+04,167,-5.74e+04,-1.23e-08
A-006,A-006,Port A,0,3.18e+07,-129,-2.00e+07,6.45e-12
A-007,A-007,Port A,0,6.95e+04,-169,-6.81e+04,1.15e-08
A-008,A-008,Port A,0,2.95e+07,-130,-1.89e+07,7.03e-12
A-009,A-009,Port A,0,1.65e+07,-52,1.02e+07,1.22e-11
A-010,A-010,Port A,0,3.26e+07,-129,-2.05e+07,6.29e-12
A-011,ir05,Port A,1,2.18e+02,-57,1.19e+02,8.69e-07
A-012,A-012,Port A,0,3.31e+07,-127,-1.98e+07,6.01e-12
A-013,A-013,Port A,0,3.90e+07,-128,-2.41e+07,5.19e-12
A-014,A-014,Port A,0,2.06e+07,-58,1.10e+07,9.15e-12
A-015,pt05,Port A,1,9.25e+02,-46,6.39e+02,2.38e-07
A-016,pt09,Port A,1,6.21e+02,-61,3.00e+02,2.92e-07
A-017,pt08,Port A,1,7.05e+02,-69,2.51e+02,2.42e-07
A-018,pt07,Port A,1,3.28e+02,-69,1.16e+02,5.19e-07
A-019,pt06,Port A,1,3.97e+02,-74,1.09e+02,4.16e-07
A-020,ir09,Port A,1,1.40e+03,-41,1.06e+03,1.72e-07
A-021,ir08,Port A,1,7.70e+02,-40,5.90e+02,3.21e-07
A-022,ir07,Port A,1,8.11e+02,-37,6.46e+02,3.25e-07
A-023,ir06,Port A,1,7.30e+02,-38,5.75e+02,3.54e-07
A-024,ir01,Port A,1,1.26e+02,-50,8.16e+01,1.65e-06
A-025,ir02,Port A,1,2.28e+02,-51,1.43e+02,8.98e-07
A-026,ir03,Port A,1,2.60e+02,-28,2.29e+02,1.29e-06
A-027,ir04,Port A,1,2.03e+02,-50,1.31e+02,1.02e-06
A-028,pt01,Port A,1,5.85e+04,-38,4.63e+04,4.44e-09
A-029,pt02,Port A,1,4.08e+02,-60,2.02e+02,4.49e-07
A-030,pt03,Port A,1,4.89e+02,-36,3.95e+02,5.50e-07
A-031,pt04,Port A,1,5.89e+02,-58,3.09e+02,3.17e-07
