Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 100 Hz (ohms),Impedance Phase at 100 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,7.69e+08,-69,2.81e+08,2.22e-12
D-001,D-001,Port D,1,2.75e+08,-72,8.33e+07,6.07e-12
D-002,D-002,Port D,1,2.03e+08,-42,1.51e+08,1.18e-11
D-003,D-003,Port D,1,4.45e+08,-58,2.39e+08,4.24e-12
D-004,pt10,Port D,1,3.28e+04,-63,1.48e+04,5.44e-08
D-005,pt05,Port D,1,2.12e+04,-73,6.24e+03,7.87e-08
D-006,ir10,Port D,1,1.86e+04,-32,1.58e+04,1.64e-07
D-007,ir05,Port D,1,2.95e+05,-122,-1.55e+05,6.34e-09
D-008,pt01,Port D,1,4.01e+04,-76,1.00e+04,4.09e-08
D-009,pt02,Port D,1,2.24e+04,-78,4.55e+03,7.25e-08
D-010,pt03,Port D,1,2.05e+05,-9,2.03e+05,5.23e-08
D-011,pt04,Port D,1,2.49e+04,-84,2.68e+03,6.43e-08
D-012,pt06,Port D,1,2.18e+04,-59,1.14e+04,8.55e-08
D-013,pt07,Port D,1,2.93e+04,-64,1.29e+04,6.05e-08
D-014,pt08,Port D,1,2.17e+04,-60,1.10e+04,8.50e-08
D-015,pt09,Port D,1,6.71e+04,-9,6.63e+04,1.50e-07
D-016,g2x2l-2,Port D,1,4.04e+04,-36,3.25e+04,6.63e-08
D-017,g2x2l-1,Port D,1,6.38e+04,-34,5.29e+04,4.48e-08
D-018,g2x2s-2,Port D,1,3.71e+04,-43,2.70e+04,6.26e-08
D-019,g2x2s-1,Port D,1,3.89e+04,-34,3.21e+04,7.24e-08
D-020,g3x3s-2,Port D,1,3.33e+04,-46,2.32e+04,6.65e-08
D-021,g3x3s-1,Port D,1,2.84e+04,-78,6.03e+03,5.72e-08
D-022,g1x1-2,Port D,1,3.22e+04,-26,2.90e+04,1.13e-07
D-023,g1x1-1,Port D,1,2.05e+04,-40,1.56e+04,1.20e-07
D-024,ir01,Port D,1,5.94e+05,-77,1.32e+05,2.75e-09
D-025,ir02,Port D,1,6.15e+04,79,1.15e+04,-2.64e-08
D-026,ir03,Port D,1,2.83e+05,-110,-9.74e+04,6.00e-09
D-027,ir04,Port D,1,9.30e+05,-109,-3.07e+05,1.81e-09
D-028,ir06,Port D,1,2.70e+06,-25,2.44e+06,1.37e-09
D-029,ir07,Port D,1,1.39e+04,-23,1.28e+04,2.88e-07
D-030,ir08,Port D,1,1.51e+05,-14,1.47e+05,4.40e-08
D-031,ir09,Port D,1,9.34e+05,-14,9.08e+05,7.28e-09
