Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,540.0,-33,65.5964,260.7228536478292,1.7272
d-025,IR02,604.0,-41,65.5964,675.2349218103152,0.8103
d-026,IR03,538.0,-46,65.5964,1014.391890114818,1.1716
d-027,IR04,725.0,-42,65.5964,77.71023594470265,1.2028
d-011,IR05,961.0,-25,65.5964,315.61572247023446,1.4268
d-023,IR06,398.0,-36,65.5964,293.745228385766,1.377
d-022,IR07,1080.0,-31,65.5964,0.0,0.594
d-021,IR08,925.0,-32,65.5964,425.54668517883505,0.8375
d-020,IR09,720.0,-37,65.5964,319.39057674353603,1.008
d-004,IR10,1800.0,-33,65.5964,188.6044716028665,1.2387
d-028,PT01,131.0,-166,65.5964,0.0,3.2472
d-029,PT02,346.0,-41,65.5964,142.4673405714718,2.1784
d-030,PT03,435.0,-38,65.5964,4.073222158328541,2.0868
d-031,PT04,723.0,-33,65.5964,102.93171510134309,2.3458
d-015,PT05,697.0,-25,65.5964,202.62835282999083,2.0832
d-019,PT06,295.0,-45,65.5964,127.01536623454275,2.6302
d-018,PT07,932.0,-51,65.5964,137.49744452509748,2.1168
d-017,PT08,429.0,-44,65.5964,242.44850252177847,1.7199
d-016,PT09,331.0,-40,65.5964,278.2298597481066,1.607
d-000,PT10,1010.0,-43,65.5964,16.90211404385983,2.8304
