Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
A-000,pt10,Port A,1,6.65e+02,-54,3.87e+02,2.94e-07
A-001,A-001,Port A,0,2.41e+07,-130,-1.53e+07,8.58e-12
A-002,A-002,Port A,0,3.18e+07,-112,-1.21e+07,5.42e-12
A-003,A-003,Port A,0,3.74e+07,-152,-3.30e+07,9.01e-12
A-004,ir10,Port A,1,1.16e+03,-39,9.06e+02,2.19e-07
A-005,A-005,Port A,0,1.07e+06,-144,-8.61e+05,2.53e-10
A-006,A-006,Port A,0,3.77e+07,-123,-2.03e+07,5.01e-12
A-007,A-007,Port A,0,1.08e+06,-156,-9.83e+05,3.63e-10
A-008,A-008,Port A,0,4.17e+07,-134,-2.89e+07,5.29e-12
A-009,A-009,Port A,0,2.91e+07,-105,-7.32e+06,5.65e-12
A-010,A-010,Port A,0,3.48e+07,-134,-2.42e+07,6.35e-12
A-011,ir05,Port A,1,1.00e+03,-51,6.25e+02,2.03e-07
A-012,A-012,Port A,0,3.12e+07,-119,-1.51e+07,5.83e-12
A-013,A-013,Port A,0,4.59e+07,-129,-2.89e+07,4.46e-12
A-014,A-014,Port A,0,2.24e+07,-112,-8.22e+06,7.63e-12
A-015,pt05,Port A,1,1.75e+03,-36,1.43e+03,1.56e-07
A-016,pt09,Port A,1,7.67e+02,-50,4.88e+02,2.69e-07
A-017,pt08,Port A,1,6.07e+02,-58,3.25e+02,3.11e-07
A-018,pt07,Port A,1,4.93e+02,-59,2.56e+02,3.77e-07
A-019,pt06,Port A,1,3.17e+02,-66,1.28e+02,5.48e-07
A-020,ir09,Port A,1,1.02e+03,-37,8.13e+02,2.55e-07
A-021,ir08,Port A,1,1.39e+03,-34,1.15e+03,2.05e-07
A-022,ir07,Port A,1,1.65e+03,-32,1.40e+03,1.80e-07
A-023,ir06,Port A,1,5.67e+02,-35,4.62e+02,4.85e-07
A-024,ir01,Port A,1,6.01e+02,-20,5.64e+02,7.76e-07
A-025,ir02,Port A,1,1.25e+02,-28,1.11e+02,2.71e-06
A-026,ir03,Port A,1,1.27e+02,15,1.23e+02,-4.89e-06
A-027,ir04,Port A,1,1.20e+03,-52,7.34e+02,1.68e-07
A-028,pt01,Port A,1,1.15e+03,-40,8.86e+02,2.17e-07
A-029,pt02,Port A,1,9.83e+02,-41,7.42e+02,2.47e-07
A-030,pt03,Port A,1,8.52e+02,-37,6.78e+02,3.08e-07
A-031,pt04,Port A,1,1.80e+03,-30,1.55e+03,1.75e-07
