Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,1630.0,-33,65.8353,73.63946468885163,1.7272
d-025,IR02,484.0,-38,65.8353,309.760737842931,0.8103
d-026,IR03,474.0,-36,65.8353,162.48683886957318,1.1716
d-027,IR04,890.0,-39,65.8353,156.9982829684488,1.2028
d-011,IR05,1430.0,-32,65.8353,108.44719395198612,1.4268
d-023,IR06,3900.0,-34,65.8353,308.3316264142915,1.377
d-022,IR07,1070.0,-25,65.8353,0.0,0.594
d-021,IR08,1060.0,-41,65.8353,443.5959736203247,0.8375
d-020,IR09,790.0,-34,65.8353,330.6691266250793,1.008
d-004,IR10,2340.0,-40,65.8353,58.66688461709083,1.2387
d-028,PT01,1280.0,-30,65.8353,0.0,3.2472
d-029,PT02,489.0,-40,65.8353,85.23037373937763,2.1784
d-030,PT03,622.0,-34,65.8353,97.77770424189728,2.0868
d-031,PT04,931.0,-32,65.8353,91.567188781935,2.3458
d-015,PT05,910.0,-27,65.8353,144.08802088286757,2.0832
d-019,PT06,617.0,-39,65.8353,133.56824150681348,2.6302
d-018,PT07,845.0,-41,65.8353,129.2721444795277,2.1168
d-017,PT08,816.0,-50,65.8353,225.66554563972693,1.7199
d-016,PT09,341.0,-34,65.8353,311.1387678904029,1.607
d-000,PT10,505.0,-39,65.8353,152.62038729016504,2.8304
