Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
D-000,D-000,Port D,1,9.08e+02,111,-3.32e+02,-1.88e-07
D-001,D-001,Port D,1,2.84e+07,-137,-2.07e+07,8.19e-12
D-002,D-002,Port D,1,3.10e+07,-105,-8.01e+06,5.32e-12
D-003,D-003,Port D,1,2.08e+07,-131,-1.37e+07,1.02e-11
D-004,pt10,Port D,1,2.02e+04,-42,1.50e+04,1.18e-08
D-005,pt05,Port D,1,1.43e+03,-45,1.01e+03,1.58e-07
D-006,ir10,Port D,1,9.22e+03,-36,7.42e+03,2.91e-08
D-007,ir05,Port D,1,1.62e+04,-28,1.44e+04,2.09e-08
D-008,pt01,Port D,1,4.05e+03,-39,3.14e+03,6.24e-08
D-009,pt02,Port D,1,1.04e+03,-41,7.82e+02,2.33e-07
D-010,pt03,Port D,1,7.26e+04,-26,6.52e+04,4.97e-09
D-011,pt04,Port D,1,1.10e+03,-40,8.41e+02,2.24e-07
D-012,pt06,Port D,1,1.92e+04,-36,1.56e+04,1.41e-08
D-013,pt07,Port D,1,2.02e+04,-36,1.64e+04,1.34e-08
D-014,pt08,Port D,1,1.94e+04,-35,1.59e+04,1.42e-08
D-015,pt09,Port D,1,4.22e+04,-26,3.80e+04,8.69e-09
D-016,g2x2l-2,Port D,1,1.06e+04,-62,4.98e+03,1.70e-08
D-017,g2x2l-1,Port D,1,1.83e+04,-68,6.76e+03,9.37e-09
D-018,g2x2s-2,Port D,1,8.13e+03,-68,3.08e+03,2.12e-08
D-019,g2x2s-1,Port D,1,1.34e+04,-48,9.04e+03,1.60e-08
D-020,g3x3s-2,Port D,1,1.39e+04,-71,4.51e+03,1.21e-08
D-021,g3x3s-1,Port D,1,1.55e+04,-73,4.52e+03,1.07e-08
D-022,g1x1-2,Port D,1,1.05e+04,-60,5.26e+03,1.75e-08
D-023,g1x1-1,Port D,1,6.31e+03,-54,3.70e+03,3.12e-08
D-024,ir01,Port D,1,8.80e+04,-29,7.69e+04,3.71e-09
D-025,ir02,Port D,1,3.09e+05,-31,2.63e+05,9.91e-10
D-026,ir03,Port D,1,1.45e+04,-25,1.31e+04,2.59e-08
D-027,ir04,Port D,1,3.38e+04,-25,3.06e+04,1.11e-08
D-028,ir06,Port D,1,6.68e+05,-28,5.90e+05,5.10e-10
D-029,ir07,Port D,1,8.98e+03,-27,7.96e+03,3.84e-08
D-030,ir08,Port D,1,6.27e+04,-27,5.61e+04,5.68e-09
D-031,ir09,Port D,1,6.42e+05,-33,5.35e+05,4.50e-10
