Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,4600.0,-26,65.8763,33.77244197927383,1.7272
d-025,IR02,9750.0,-25,65.8763,43.67872460087603,0.8103
d-026,IR03,1660.0,-26,65.8763,102.60520274930857,1.1716
d-027,IR04,4690.0,-27,65.8763,50.846205834031096,1.2028
d-011,IR05,3850.0,-26,65.8763,58.22337137862689,1.4268
d-023,IR06,4680.0,-31,65.8763,28.146140874626212,1.377
d-022,IR07,9160.0,-36,65.8763,0.0,0.594
d-021,IR08,3950.0,-29,65.8763,133.98044070657565,0.8375
d-020,IR09,3560.0,-34,65.8763,156.8605006106645,1.008
d-004,IR10,9700.0,-40,65.8763,22.840566199586263,1.2387
d-028,PT01,4800.0,-29,65.8763,0.0,3.2472
d-029,PT02,2450.0,-23,65.8763,53.58877286330928,2.1784
d-030,PT03,31900.0,-20,65.8763,8.705500402438036,2.0868
d-031,PT04,4800.0,-23,65.8763,25.523559710338642,2.3458
d-015,PT05,4980.0,-24,65.8763,50.260989010992006,2.0832
d-019,PT06,745.0,-66,65.8763,57.43778065498062,2.6302
d-018,PT07,919.0,-66,65.8763,50.539065384162555,2.1168
d-017,PT08,1120.0,-62,65.8763,62.80943656820737,1.7199
d-016,PT09,821.0,-58,65.8763,84.36656933609056,1.607
d-000,PT10,608.0,-65,65.8763,63.260329352416576,2.8304
