,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
20,d-023,G1X1-1,8020.0,-64,65.8478,2.763037809648208,4.0
21,d-022,G1X1-2,9780.0,-62,65.8478,2.3257790368271793,4.0
22,d-021,G3X3S-1,15500.0,-72,65.8478,2.178984234112245,3.9204
23,d-020,G3X3S-2,13200.0,-72,65.8478,1.016541074656416,3.9204
24,d-019,G2X2S-1,10000.0,-55,65.8478,1.651084957062147,3.9601
25,d-018,G2X2S-2,7780.0,-66,65.8478,1.5386033826960315,3.9601
26,d-017,G2X2L-1,17000.0,-69,65.8478,1.1720279720279039,4.0
27,d-016,G2X2L-2,10000.0,-64,65.8478,2.0858480398760615,4.0
