,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
20,d-023,G1X1-1,25500.0,-36,65.8096,1.5967365967368865,4.0
21,d-022,G1X1-2,14400.0,-59,65.8096,1.63578799249532,4.0
22,d-021,G3X3S-1,15800.0,-69,65.8096,1.0519998864989681,3.9204
23,d-020,G3X3S-2,10800.0,-66,65.8096,0.8945497926210144,3.9204
24,d-019,G2X2S-1,11200.0,-62,65.8096,0.8284874877522154,3.9601
25,d-018,G2X2S-2,8520.0,-67,65.8096,1.1858839512138195,3.9601
26,d-017,G2X2L-1,18000.0,-74,65.8096,0.5790209790208237,4.0
27,d-016,G2X2L-2,10900.0,-66,65.8096,0.9528611632265932,4.0
