,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
20,d-023,G1X1-1,7270.0,-63,65.7277,2.423895848035731,4.0
21,d-022,G1X1-2,11300.0,-68,65.7277,1.5717455621303724,4.0
22,d-021,G3X3S-1,13500.0,-73,65.7277,0.8508479582856556,3.9204
23,d-020,G3X3S-2,11100.0,-63,65.7277,1.6927085691654569,3.9204
24,d-019,G2X2S-1,11900.0,-62,65.7277,1.9608368198049708,3.9601
25,d-018,G2X2S-2,8830.0,-57,65.7277,2.1797955699921125,3.9601
26,d-017,G2X2L-1,11800.0,-59,65.7277,2.300868486352477,4.0
27,d-016,G2X2L-2,921.0,-30,65.7277,5.794871794871222,4.0
