,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
20,d-023,G1X1-1,5930.0,-59,65.7365,3.3331447963799428,4.0
21,d-022,G1X1-2,8190.0,-58,65.7365,1.7635746606338678,4.0
22,d-021,G3X3S-1,14400.0,-74,65.7365,1.0750143464144868,3.9204
23,d-020,G3X3S-2,11500.0,-64,65.7365,1.586090960851225,3.9204
24,d-019,G2X2S-1,9030.0,-54,65.7365,1.9873783395683822,3.9601
25,d-018,G2X2S-2,6550.0,-68,65.7365,2.243533088714039,3.9601
26,d-017,G2X2L-1,13100.0,-62,65.7365,2.1600507585742794,4.0
27,d-016,G2X2L-2,5270.0,-67,65.7365,1.7517751479274153,4.0
