Frequency,Impedance,Phase Angle,Temperature (Dry Bath)
5.000000000000001,9444.329,-58.68836,65.5632
7.338996338110348,7532.575,-57.5427,65.5687
10.772173450159421,5918.74,-56.43055,65.5726
15.811388300841895,4689.998,-55.17038,65.6135
23.207944168063896,3722.309,-53.64691,65.6365
34.06460345289807,2972.376,-51.79902,65.644
49.99999999999999,2396.701,-49.76589,65.6695
73.38996338110344,1948.296,-47.58062,65.7074
107.72173450159421,1603.352,-45.37391,65.6883
158.11388300841895,1328.279,-43.13448,65.71
232.07944168063884,1110.045,-40.89608,65.7345
340.6460345289807,935.8127,-38.42954,65.7161
499.99999999999994,798.2327,-35.73425,65.7348
733.8996338110344,690.1303,-32.91238,65.7262
1077.217345015941,604.9795,-30.10493,65.7581
1581.1388300841895,539.2847,-27.47715,65.8132
2320.794416806388,487.7352,-25.19091,65.8698
3406.4603452898036,446.4926,-23.38555,65.9095
4999.999999999999,411.504,-22.10158,65.9625
7338.996338110344,380.2225,-21.34816,65.9821
10772.17345015941,351.6617,-21.0916,66.0183
15811.388300841894,324.9472,-21.33574,66.0722
23207.944168063907,299.4027,-22.0441,66.1152
34064.60345289804,274.2982,-23.16357,66.1568
49999.99999999999,249.0774,-24.60533,66.2039
