Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,972.0,-34,65.798,100.71637162643472,1.7272
d-025,IR02,610.0,-39,65.798,252.46802220024648,0.8103
d-026,IR03,554.0,-36,65.798,592.5493079799114,1.1716
d-027,IR04,800.0,-33,65.798,340.687027964803,1.2028
d-011,IR05,911.0,-25,65.798,258.3463675953409,1.4268
d-023,IR06,367.0,-37,65.798,314.9265404167674,1.377
d-022,IR07,1010.0,-31,65.798,0.0,0.594
d-021,IR08,846.0,-33,65.798,428.5742084882919,0.8375
d-020,IR09,654.0,-38,65.798,342.39657401427525,1.008
d-004,IR10,1920.0,-38,65.798,90.0743908363602,1.2387
