Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,843.0,-73,224.711771622074,1.7272,65.5884
a-025,IR02,613.0,-55,205.8212058212038,0.8103,65.5884
a-026,IR03,467.0,-73,314.8773100121548,1.1716,65.5884
a-027,IR04,414.0,-49,260.12166561448095,1.2028,65.5884
a-011,IR05,177.0,-53,220.56762149773184,1.4268,65.5884
a-023,IR06,961.0,-42,153.35688404330077,1.377,65.5884
a-022,IR07,1030.0,-43,0.0,0.594,65.5884
a-021,IR08,49400.0,-28,54.00349800458563,0.8375,65.5884
a-020,IR09,1880.0,-44,173.25422199801986,1.008,65.5884
a-004,IR10,2120.0,-46,46.02416350372973,1.2387,65.5884
